TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,NA,NA,NA,29780000,NA,,
NA,NA,NA,8325900,10518000,10438000,,
NA,NA,NA,8950700,9630400,7948400,,
NA,NA,NA,12776000,NA,11794000,,
NA,NA,NA,7665400,NA,NA,,
NA,NA,NA,7656600,9193200,8383600,,
NA,NA,NA,11729000,9709400,11599000,,
NA,NA,NA,3081000,3542900,8321100,,
NA,NA,NA,7146500,10321000,2832700,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,38998000,60775000,48532000,,
NA,NA,NA,2045400,2767000,3908500,,
NA,NA,NA,8385700,12494000,14835000,,
NA,NA,NA,10615000,13352000,12891000,,
NA,NA,NA,14359000,14719000,13232000,,
NA,NA,NA,5267000,6235900,NA,,
NA,NA,NA,9847200,8770800,9938700,,
NA,NA,NA,NA,NA,8976700,,
NA,NA,NA,2388300,3969800,NA,,
NA,NA,NA,NA,1411900,5105500,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,15160000,NA,NA,,
NA,NA,NA,NA,13759000,NA,,
NA,NA,NA,NA,NA,14300000,,
NA,NA,NA,15946000,19204000,18296000,,
NA,NA,NA,NA,34128000,NA,,
NA,NA,NA,NA,NA,31799000,,
NA,NA,NA,NA,9028300,9637000,,
NA,NA,NA,NA,NA,15740000,,
NA,NA,NA,13621000,19048000,19727000,,
NA,NA,NA,22216000,27492000,10526000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,29381000,24247000,,
NA,NA,NA,100360000,139460000,103980000,,
NA,NA,NA,9178800,8549100,7929100,,
NA,NA,NA,4127400,4425500,4926400,,
NA,NA,NA,9111700,14362000,14575000,,
NA,NA,NA,1436400,NA,2510400,,
NA,NA,NA,3015800,5108000,3897300,,
NA,NA,NA,4052200,6873100,8139100,,
NA,NA,NA,3780800,5093300,5498200,,
NA,NA,NA,26411000,33252000,25386000,,
NA,NA,NA,5054300,4556200,6405300,,
NA,NA,NA,NA,23553000,22545000,,
NA,NA,NA,27302000,110490000,109490000,,
NA,NA,NA,4678400,5336600,6409600,,
NA,NA,NA,12073000,4387400,NA,,
NA,NA,NA,11517000,22050000,2558300,,
NA,NA,NA,NA,8290700,10859000,,
NA,NA,NA,NA,NA,2188400,,
NA,NA,NA,2429700,5628000,5275700,,
NA,NA,NA,NA,6741200,5119700,,
