K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M1,K3M2,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
6.882584872,,,,,,,,,,,,,,,,,,,,,,,
7.200009538,7.632560697,7.621360384,7.390674252,7.759122744,7.645589587,7.866619863,7.692775978,7.733534107,7.964026816,6.582602547,7.765226584,7.866039827,8.055239244,8.196077373,8.22388761,8.020467376,7.706898494,7.985829225,8.025347243,7.610589438,7.813785587,7.602991747,7.932202803
7.914762571,7.816304362,7.896703739,7.918659473,7.913592323,7.666859998,7.877371007,7.857170456,7.981200129,8.004057893,7.703528852,8.041712174,7.873763087,7.735580148,7.947962003,8.028247829,8.019099355,8.011096915,7.960015387,7.904015883,7.898971029,7.876027056,8.056163099,8.079386034
7.999520621,8.087914675,8.015890325,8.055968624,8.018538611,8.126952082,8.170201367,8.050533634,8.021589112,8.122664665,8.08772744,8.230920948,8.100104238,7.822955361,8.146291369,8.160937451,8.387492672,8.177395193,8.068585006,8.056658553,8.065129547,8.130199379,8.02188397,8.292118779
8.539934167,8.425939792,8.508924139,8.542264374,8.567993876,8.634697061,8.630252498,8.56545822,8.569418758,8.592844824,8.54324066,8.685850784,8.566826112,8.878402398,8.696454996,8.700153992,8.775538684,8.639207425,8.725229813,8.66330349,8.612623086,8.627409977,8.689760422,8.749793149
8.383304193,8.345158733,8.322151304,8.368613448,8.23233542,8.544191679,8.546272753,8.513688365,8.377029084,8.408716446,8.323154488,8.571218136,8.404548939,8.745492787,8.571857859,8.595531891,8.769318355,8.424566569,8.469891596,8.374315604,8.412094024,8.499491478,8.435583102,8.6006172
8.134716053,8.197810593,8.115199352,8.25252196,8.136576,8.230194071,8.177566432,8.197957368,8.260889266,8.40454938,7.945959873,8.268256985,8.37008031,8.232787739,8.280740495,8.465414224,8.281037111,8.406269108,8.341421228,8.426122934,8.262006918,8.243945379,8.527863051,8.233975651
7.040205344,7.024347875,6.874558034,6.657043996,,6.798986356,6.879845737,6.83661364,6.751505168,7.21682939,7.035240778,7.105044053,6.820541564,6.7246222,7.512118302,6.923148422,7.025906618,7.124481583,6.799721101,7.454555219,6.349444741,6.844141724,7.190117535,
7.632465961,7.575133349,7.57906834,7.510893772,7.392990872,7.342038345,7.354104948,7.425407876,7.560631353,7.67563971,7.351907088,7.573607969,7.393325285,,7.434549755,7.68746097,7.494703515,7.715728908,7.632467955,7.46594623,7.00389197,7.310826836,7.861331304,7.518752167
,,,,7.795979118,6.932788579,8.089751698,7.192172747,,,,,,,,,,,6.857315493,7.01252234,,7.384004836,7.280589382,
7.089193081,,,6.612548755,,,,,,,,,,7.383651238,6.964249285,7.425852762,,,,,,,,
7.686671761,7.395721302,7.547336471,7.586285414,,7.591023465,7.205418803,7.438766283,7.444112215,7.739950347,7.386900199,7.628917078,7.462146813,,7.45801084,7.433027333,7.509244981,7.720258725,7.6558646,7.160933937,,7.38430751,7.565146724,7.706499768
8.559585498,8.681964135,8.696251405,8.87403021,8.809664677,8.825882343,8.783754409,8.59927061,8.678842746,8.795729025,8.547738003,8.862336398,8.782975955,8.995583095,8.975264167,9.014332386,9.094429809,8.922419005,8.931181267,8.940725069,8.774746269,8.882441659,8.792230291,8.96069006
