iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0.022201064,0,0.029087579,0.033529229,0.111575408,0.080594047,0.286450361,0.218252301,0.135966536,0.239490237,0.214898691,0.051462263,0.039297241,0.043960186,0.092193939
0.489094908,0.788077179,0.793847406,4.169054936,4.38671607,3.599178856,4.923071395,5.56256793,6.523349105,4.465535316,4.340687193,4.920756993,3.034491254,2.91510861,3.661636364
0.065380439,0.026579907,0.025953129,0.091005145,0.03467888,0.027917629,0.416298372,0.267835664,0.269759309,0.186803826,0.292028736,0.270629571,0.185710766,0.166491196,0.063993939
0,0,0.01096127,0.009141259,0.049372856,0.013552733,0.177859222,0.030484747,0.055244463,0.025955969,0.022999835,0.032586293,0.068033999,0.015119501,0.01518
0,0.052284232,0.056582345,0.32352474,0.330300535,0.30588273,0.398447774,0.276921962,0.630254406,0.596625606,0.506165544,0.48925884,0.306658044,0.184492043,0.168387879
0,0.024141583,0.031569551,0.100659508,0.24315905,0.141070054,0.292177787,0.045061952,0.324027978,0.036324204,0.039281911,0.030246551,0.045517369,0.123706662,0.044968485
0.536390211,0.56750499,0.607466853,3.107627499,2.211678331,3.214908904,4.462433977,4.145714079,4.832270452,3.007141921,3.118796587,2.69899721,1.798903671,1.794215526,1.947212121
0.035772154,0.016636061,0.023759595,0.064584786,0.09758474,0.107332564,0.17414394,0.239207304,0.176095454,0.148440571,0.065953777,0.116782025,0.125024637,0.113783506,0.138436364
6.249060386,5.227944112,5.493137939,14.56579538,16.4525868,14.48870926,40.45201394,47.47844359,42.15182061,19.5852444,16.8909819,17.11166403,18.93939394,18.15514007,19.84545455
0.0675854,0.082262142,0.00878053,0.0775871,0.077089337,0.076956633,0.203578743,0.513129483,0.49263526,0.408137859,0.346338318,0.292639674,0.322838137,0.225721547,0.267557576
0.050855536,0.053636727,0.008802047,0.131770312,0.151982983,0.281812933,0.155574719,0.392906311,0.314599191,0.317422356,0.166786148,0.135727965,0.220916482,0.075537,0.230866667
0,0.090155689,0.131862061,0.346645489,0.263839715,0.319733128,0.810822464,0.785305413,0.937872866,0.465744988,0.609445536,0.375969238,0.182249322,0.4472076,0.289945455
0,0.010175915,0,0.173709471,0.114134761,0.140293816,0.021240344,0.079972466,0.130988137,0.08702005,0.087448445,0.111667044,0.016223208,0,0.013880606
0,0,0.006953943,0.044349988,0.083669549,0.061105979,0.041540728,0.031368017,0.084598505,0,0.02219596,0,0,0.024006777,0.024985455
0.662713327,0.56665336,0.668236799,3.813611408,3.75854261,3.186233,4.687434875,4.855662633,4.344099294,3.410824269,2.498432743,2.387393501,1.92042375,1.912264779,1.790909091
0,0.125908184,0.168050709,2.161734747,1.743721696,1.724403387,1.206496353,1.280631838,0.675197147,0.524105622,0.444183152,0.595605821,0.189159892,0.350142192,0.464515152
0.303727832,0.186315369,0.139410328,0.622464694,1.340881021,1.258339749,1.519025547,1.67205275,1.26620037,1.774669113,1.632227005,1.366749604,1.179970436,0.569026442,0.390684848
0,0.02171018,0,0.140361175,0.182242349,0.057941365,0.149502353,0.192573002,0.118603854,0.165443585,0.135716964,0.162117168,0.029296625,0.027514975,0.034692121
0,0.016520027,0.030201791,0.06611443,0.091875943,0.047279317,0.154144659,0.080878197,0.254878969,0.056532565,0.026734256,0.008702707,0.129613205,0.059320506,0.016107879
0.050849968,0.077705921,0.05531519,0.505631712,0.143639358,0.439228894,0.472825267,0.172936744,0.636741411,0.092779452,0.127654214,0.303201387,0.109823848,0.090258365,0.230006061
0.024566942,0.047755689,0.043899744,0.074679742,0.052080417,0.061732102,0.281161295,0.190718064,0.32679147,0.077388285,0.198029305,0.180116112,0.204761025,0.220124645,0.100290909
0.027832623,0.025999734,0.031756222,0.045805739,0.042535337,0.079926867,0.263044806,0.097905949,0.224638277,0.190047176,0.110292905,0.085265777,0.067769155,0.059581291,0.049754545
