K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.943977,8.890519,8.183136,8.800191,9.038406,8.572558,8.55606,8.490244,8.432403,8.305574,8.802186,8.737337,8.089426,8.321689,8.443243,8.604989,7.975987,8.779154,7.856114,7.774981,8.211693,8.307436,7.790393,7.846083
,6.750303,6.797594,6.936455,6.332535,6.734816,,,7.047471,6.644609,,6.956217,7.042471,7.003511,7.034094,,7.492237,,6.999116,7.723594,7.350731,7.101383,7.247349,7.417265
8.839051,8.979638,9.189989,9.041762,9.215209,8.895738,8.856928,9.068557,9.10848,8.971252,9.009027,8.945746,8.688969,8.668623,8.673593,8.778545,8.797819,8.339051,8.322815,8.906842,8.917597,8.683905,9.037999,8.923496
7.974304,8.08792,8.081915,8.208589,8.324387,7.930178,7.930814,7.858945,7.941655,8.012313,7.954309,8.179815,7.956738,7.620355,7.909847,7.944399,7.654634,7.758847,7.780703,7.640698,8.054198,7.378567,7.888632,7.792594
9.216898,9.740577,9.686341,9.461937,9.669315,9.443857,9.511871,9.605152,9.625899,9.45298,9.3862,9.523678,9.998932,9.62896,9.481446,9.933434,9.910085,9.403887,10.136388,10.099573,9.840204,9.649369,10.160856,10.084156
7.515422,7.855837,8.47531,8.196981,8.402939,8.227795,8.174868,8.712665,8.676335,8.403749,8.695599,8.494812,9.161269,9.035225,8.723278,9.034835,8.534835,8.685096,8.476424,8.673575,8.747924,8.568006,8.895856,8.83783
7.773706,7.722015,7.391678,7.030788,7.726115,6.904201,8.189515,7.465347,8.104699,,,7.251402,8.053156,8.089124,7.717857,8.183559,7.999201,,8.123285,8.129381,8.030307,8.300162,8.320721,8.133009
8.648168,8.658171,8.72198,8.882027,8.964262,8.628973,8.8419,8.836282,8.798005,8.985396,8.948984,8.888929,8.939491,8.69088,9.194085,9.020362,8.933331,8.952542,9.078753,9.224647,9.269725,8.935138,9.2634,9.164606
8.767904,8.709517,8.824772,8.903607,9.231484,8.755898,8.89615,9.437199,9.362151,8.858212,9.301416,9.118922,9.273776,9.496593,9.865736,9.595272,9.394926,9.421636,9.280482,9.054141,9.320135,9.213649,9.182745,9.599584
7.416242,7.053283,7.575551,7.030788,7.401702,7.31381,7.357681,7.050431,7.392639,,7.325486,7.464693,7.574336,7.439686,7.615081,7.411723,7.475786,7.524022,7.467642,7.45764,7.757118,7.795367,7.667597,7.50274
8.771333,8.622259,8.532895,8.667435,8.546626,8.913758,8.24447,8.375496,,8.853384,8.492829,8.469957,8.207694,8.145289,8.259729,8.422989,8.525551,8.505652,8.221105,8.312838,8.424766,8.271587,8.297494,8.338953
7.572858,7.640369,7.981849,7.458214,7.971352,7.981578,8.139716,8.279771,7.896994,8.082551,8.206791,8.135007,7.383422,7.663437,7.552346,7.721747,7.564704,,7.444526,7.61802,7.769698,7.806507,7.576462,7.641511
7.227912,7.114477,7.138558,7.303032,7.674798,6.91221,7.520731,8.103009,8.105661,7.731674,7.894579,7.877054,8.187557,8.228086,8.136107,8.326844,8.268952,8.185986,7.860787,7.799981,7.706302,7.83537,7.844082,8.388441
8.627455,8.773545,8.729425,8.856088,8.93751,8.768694,8.835839,8.974016,8.794867,8.985396,8.946554,8.894514,9.090754,8.69088,9.168236,9.003071,9.100916,8.852111,9.074409,9.217352,9.25957,8.923017,9.249921,9.164606
7.98812,7.932551,8.278131,8.055172,7.743071,8.158349,7.708494,,8.018756,7.784966,7.505009,8.148924,6.991833,7.820174,7.606658,7.718666,7.767431,7.371501,7.675678,7.590152,7.598495,7.745449,7.402854,7.63851
,7.767304,7.510761,7.306869,7.719147,7.626535,7.698088,,7.905624,7.504595,,8.095123,7.024856,7.67539,6.97808,6.662264,7.504792,,6.624853,,,,7.288302,6.760169
7.637093,7.527988,7.567723,7.205539,7.551688,7.610628,7.625291,7.193481,7.479541,7.440181,7.254544,7.862848,7.623349,6.667569,,6.66792,7.307369,7.153732,6.871076,7.278079,7.103779,7.002294,7.442223,6.960244
7.033474,9.371221,7.568804,7.435349,8.29834,8.619319,7.677116,8.137077,7.379744,8.962975,8.439436,7.308563,8.98966,9.042346,8.648859,8.104141,9.074361,8.061462,9.315821,9.267368,8.927971,9.472407,9.229748,9.218742
8.771333,8.622259,8.677285,8.963389,8.838234,8.913758,8.525487,8.375496,,8.853384,8.660859,8.469957,8.49873,8.145289,8.259729,8.422989,8.525551,8.505652,8.391971,8.312838,8.721099,8.423469,8.588535,8.338953
8.839051,8.979638,9.189989,9.041762,9.215209,8.895738,8.856928,9.068557,9.10848,8.971252,9.009027,8.945746,8.688969,8.668623,8.673593,8.778545,8.797819,8.241151,8.770777,8.906842,8.917597,8.683905,9.037999,8.923496
9.017871,9.471891,9.420563,9.218776,9.4069,9.156989,9.294744,9.301483,9.360651,9.208197,9.104644,9.275069,9.748667,9.302222,9.238989,9.674291,9.602956,9.15345,9.881056,9.863551,9.609923,9.331895,9.922778,9.81464
7.656291,7.768877,8.365634,7.596036,7.843926,8.018672,8.021132,7.836556,7.395359,8.078861,7.467385,8.140905,7.153874,7.095269,7.295414,,7.426771,,7.930761,7.172334,7.506679,7.461059,7.461118,
8.943977,8.859467,8.058289,8.788555,8.998964,8.5893,8.721369,8.582991,8.399202,8.275017,8.795776,8.684245,8.22544,8.297222,8.443243,8.579233,7.971473,8.779154,7.935176,7.623866,8.217314,8.293347,7.939589,7.807063
8.943977,8.859316,8.058289,8.788555,8.998964,8.5893,8.721369,8.582991,8.399202,8.275017,8.781675,8.684245,8.22544,8.297222,8.443243,8.578254,7.971473,8.779154,7.935176,7.623866,8.217314,8.293347,7.939589,7.807063
7.713573,7.874771,7.391678,7.030788,7.726115,6.904201,8.189515,7.465347,7.86985,7.631995,7.152417,7.438188,7.935535,8.089124,7.717857,7.979054,7.999201,7.569503,8.123285,8.129381,7.936305,8.140868,8.086698,7.990771
6.742558,,7.39211,7.223247,7.463851,,7.252412,7.534866,7.131714,7.344609,7.727782,7.305788,7.577459,7.66741,7.695167,7.739565,7.635489,,7.898927,7.336884,7.505922,8.117711,7.644542,7.941382
,,7.429207,7.208441,7.243632,7.035826,7.375995,7.596646,7.199593,,7.59811,7.246495,7.214591,7.733146,7.766098,7.631602,7.791325,,7.86433,7.425991,7.57411,7.89727,7.626613,8.016935
7.773706,7.874771,7.391678,7.030788,7.726115,6.904201,8.189515,7.465347,8.104699,,,7.251402,8.053156,8.089124,7.717857,8.183559,7.999201,,8.123285,8.129381,8.030307,8.300162,8.320721,8.133009
7.742996,8.1719,8.233388,7.923327,7.726115,7.941183,8.189515,7.735441,8.068762,,,8.128581,8.425736,8.34837,8.054206,7.92444,8.241878,,8.267838,8.367258,8.292869,8.579977,8.320026,8.422512
7.460757,8.02384,6.854006,7.691486,,7.666885,7.567484,7.680458,7.463137,7.683147,,,7.841613,8.033286,7.921285,7.938113,8.038117,7.672448,7.890057,7.906746,8.098057,8.169436,7.856572,7.879535
