Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2
1275600,533750,866210,967750,319080,518900,1861900,3461500
9964700,11188000,3132800,2650200,5384200,7238800,2651800,2669400
1879500,2049600,1680400,1871300,0,0,2335000,2976500
1800300,1921800,5151700,5658900,1983100,1321700,3323500,1980000
63694000,62423000,3241900,1586400,490610000,602480000,3405200,1766700
2224100,2107600,3287400,3981100,1514500,1074200,2475700,2690800
2171000,2042300,3998600,4606200,0,0,3324400,1816300
2577200,2931300,2628700,2488600,1357500,2066100,2298800,2824900
52290000,56046000,1220200,875520,198610000,216580000,2278100,2842500
3797400,3524700,4721200,6118700,2245700,0,5061200,0
1343500,2021200,6001700,6987200,0,0,4539000,521460
3351100,3170400,4116500,5483600,1679900,2011400,2735500,2317200
1778100,2081300,2499500,3617600,0,0,3274400,1766600
7073200,6428500,3167700,1320200,2113000,2610600,1511900,3506100
1400700,1803700,11680000,13034000,0,0,4748700,254090
1971200,1653700,4030100,5703000,0,0,3112500,1864100
0,656680,5137100,2238600,810500,969010,3721800,1247300
0,0,0,0,0,0,0,4909400
1565000,1486800,2375300,2996300,0,895720,3049900,1839900
1047500,1337600,2829500,3986900,0,0,4882600,0
1701400,2155700,4279800,4988300,0,0,2863200,2016700
0,3055900,7874000,7449300,0,1638100,2427700,2435700
0,0,1433700,853640,0,0,3889100,961580
1152500,1051400,3046200,2057400,0,0,1585100,3232800
13860000,12315000,1651600,1879200,4851000,4789700,3378000,1434400
3082500,3337800,5671800,6003300,0,0,2279600,2532400
1986400,2150000,1697300,1635000,1904100,3045400,1911500,2888900
198210000,191260000,350200,399360,275310000,304920000,0,4759600
1457100,1708900,1603600,1961700,0,0,2307600,2431800
36022000,32242000,3493600,3204800,10750000,9112700,2804700,1919000
45849000,41570000,401350,843690,82598000,76605000,681440,4036700
1689400,2379500,2533000,2790900,0,0,1557200,3160400
3395000,2904000,2181900,2157000,6445200,9555200,1071100,3576400
2953000,2120100,1408700,1530100,0,1401300,1549400,3087800
0,1079400,2383800,2049100,0,0,2900200,1651400
2250100,2145200,1384400,1642300,0,0,2109800,2407900
2327000,2220600,4209500,4394900,0,0,2749900,1727900
1978800,2500400,3749500,4292200,0,0,2545500,1931900
879260,0,4336600,973350,0,0,4448000,0
979920,1358500,1011800,1351200,0,1193800,808190,3623200
904580,981000,1740800,1467200,0,0,2307700,2090000
908920,1536200,2070500,2182700,0,0,3182000,1206900
1800800,2083000,1709800,1495000,1474900,1529100,1382200,3005800
48132000,48040000,517250,449140,282710000,286410000,871170,3505800
1934400,2116700,925030,1052500,0,0,1913800,2420400
1601600,1629900,1671700,774890,1290900,1679700,1100100,3214000
4125300,2433700,0,0,0,0,0,4286600
2642700,3037000,1095400,912650,8964000,10747000,1886000,2399700
1346700,1678300,1534600,0,816760,717740,0,4254700
14184000,14428000,3812500,4505500,9534900,11300000,2718800,1527400
7908200,7814200,4437200,3948500,0,0,1679100,2543000
0,0,0,0,0,0,0,4210100
2296900,2089800,460360,0,423190,0,1781000,2413200
1353800,1610700,5159200,6985300,1620600,1519700,4173700,0
5091700,1337400,800400,2207800,1075300,0,0,4167600
0,0,0,0,0,0,0,4118200
1888800,2692900,4631900,5742500,1767700,1899900,2306900,1784800
1445700,1287400,1505500,1017400,0,0,1998700,2080100
1640000,2076000,7093700,7420400,0,0,3314600,762840
