Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 1_Bl,LFQ intensity 2_test,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
1056200000,9270.8,4920800,7488500,58715000,28104000,90428000,46031000,50683000,68561000,53995000,34359000,298180000,165640000,149110000,0,117410,141640,590690,423430,355070,549490,436450,199390,207220,167830,90945,156060,154170
6736000,0,0,390690,580240,0,1360000,341020,392960,609440,0,178750,1420700,803920,658290,0,0,0,0,0,0,0,0,0,0,0,0,0,2928
32379000,0,0,0,973940,0,2937000,872790,767320,0,0,0,10828000,8392000,7608600,0,0,0,0,0,0,0,0,0,0,0,19680,29815,33199
5298600,0,0,0,0,0,0,0,0,0,0,0,2234600,1864300,1199700,0,0,0,0,0,0,0,0,0,0,0,0,0,5336.3
3118800,0,3118800,0,0,0,0,0,0,0,0,0,0,0,0,0,54840,0,0,0,0,0,0,0,0,0,0,0,0
3407000000,112830,848110,16490000,47097000,28288000,379020000,231190000,222190000,397160000,535890000,315410000,388170000,434460000,410690000,0,14017,265870,400380,264280,585210,1031000,711020,956120,1029000,1117200,1036900,2541500,1923500
14199000,0,0,0,0,0,0,0,0,237890,0,101870,5698000,3022400,5138400,0,0,0,0,0,0,0,0,0,0,0,17179,12020,14854
44372000,0,0,2236900,1470500,741290,4335500,1905200,2568400,4170200,2060600,1689000,10305000,6733900,6155900,0,0,0,0,0,0,0,0,0,0,0,21474,20964,0
175000000,0,7324800,8116400,13905000,7820300,36035000,12437000,14516000,36832000,20534000,13741000,2350700,848330,542740,0,107350,31029,73347,70894,76126,78877,82798,96744,92573,92776,0,0,0
2821200,0,648590,0,0,0,0,0,0,0,0,0,1543900,0,628680,0,0,0,0,0,0,0,0,0,0,0,0,0,2796.4
14358000,0,86196,0,0,471180,0,0,0,0,0,190580,9066800,4543800,0,0,0,0,0,0,0,0,0,0,0,0,0,9783.3,0
8832200,0,0,0,0,0,0,0,0,0,426080,0,3159900,2590100,2656200,0,0,0,0,0,0,0,0,0,0,0,0,0,11815
11681000,6565,6741900,29656,0,193880,752780,991800,1257700,1362600,343940,0,0,0,0,0,0,0,0,0,0,4533.7,5605.6,3448.9,0,0,0,0,0
7071800,0,0,0,0,0,0,0,0,0,0,0,1192700,2761000,3118000,0,0,0,0,0,0,0,0,0,0,0,0,9069,13734
1445000,0,0,0,0,0,0,0,0,413490,419910,611550,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0
9914600,0,1565200,246840,0,400420,3143600,0,1161200,832760,1281600,598940,0,328860,355190,0,27523,0,0,0,0,0,0,0,0,0,0,0,0
21362000,17203,735920,321800,677580,683650,10092000,3246100,2693400,0,1345100,1282100,267830,0,0,0,0,0,0,0,19114,14217,14037,0,0,10130,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464100,0,964720,0,0,0,0,0,0,0,499340,0,0,0,0,0,0,0,0,0,0,0,0,0,1632.8,0,0,0,0
2452800,0,110980,0,0,0,0,0,0,1223800,794630,323380,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.2,0,0,0
318770000,0,89980000,22135000,39332000,25226000,53072000,28539000,32485000,12685000,7828300,5800500,758510,726020,201670,0,1462000,290460,227130,255070,156920,150480,122430,23158,19937,15294,0,0,0
47038000,4964,0,0,0,0,1597300,534800,739190,2592900,1638500,1254500,13949000,16719000,8006700,0,0,0,0,0,0,0,0,12074,0,0,27878,54795,28793
101150000,0,4510400,0,0,0,7154200,2584500,1893100,36780000,24429000,19256000,0,1974200,2564100,0,40171,0,0,0,26818,24144,27194,87449,69739,63138,0,24177,19931
116080000,0,4007300,2783200,5160900,4527300,22857000,10076000,12063000,22991000,17866000,10690000,1365000,582870,1106100,0,99033,39966,32281,41677,42686,39798,45328,43528,45774,43301,0,0,0
431860000,10022,9152900,7492300,26409000,14464000,28722000,12412000,21405000,73276000,53884000,33206000,68442000,36961000,46021000,0,0,72107,173290,145230,88859,82463,118860,157970,172660,157240,110170,108570,147320
7400200,0,0,0,0,0,1480700,523650,305400,2822800,1608300,659370,0,0,0,0,0,0,0,0,0,0,0,0,0,3115.9,0,0,0
503030000,2648.8,947690,897570,2052300,1565900,9687800,2506000,2683100,53073000,40611000,28440000,172280000,93823000,94458000,0,92760,70109,0,0,11871,7892.1,11433,91683,76617,85486,335780,218500,317910
3739300,0,0,738460,1013500,624670,1362700,0,0,0,0,0,0,0,0,0,0,0,0,0,3127,0,0,0,0,0,0,0,0
2034500,0,1791200,0,243260,0,0,0,0,0,0,0,0,0,0,0,31496,0,0,0,0,0,0,0,0,0,0,0,0
1812000,0,0,0,0,0,0,0,0,0,0,317880,1494100,0,0,0,0,0,0,0,0,0,0,0,0,0,2993.8,0,0
61952000,0,2873700,0,0,4734700,5736100,6283700,7991700,14015000,12382000,7935300,0,0,0,0,76273,0,0,0,0,28725,31271,29240,27079,34313,0,0,0
61844000,0,0,0,0,0,0,0,0,828690,307980,0,26710000,19590000,14407000,0,0,0,0,0,0,0,0,0,0,0,50147,62368,68480
74329000,0,6150800,432190,4882100,3034500,8080600,8745100,8869400,3923300,6332600,4003300,12949000,4615100,2311300,0,108730,0,23857,23212,0,45431,36994,0,21026,18746,26214,14962,10217
29357000,0,4661800,357520,1521500,1004400,3022500,1834500,1846200,2128000,1464700,948090,6408000,3922100,238340,0,84913,0,0,0,0,0,0,0,0,0,0,5699.3,0
21383000,0,589850,0,0,0,0,0,0,2441300,1062300,486680,11996000,1260100,3546200,0,0,0,0,0,0,0,0,0,0,0,24038,0,0
