151002_ig_TpFL20_1_1,151002_ig_TpFL20_1_2,151002_ig_TpFL21_1_1,151002_ig_TpFL21_1_2,151002_ig_TpFL22_1_1,151002_ig_TpFL22_1_2,151002_ig_TpFL23_1_1,151002_ig_TpFL23_1_2,151002_ig_TpCL21_1_1,151002_ig_TpCL21_1_2,151002_ig_TpCL22_1_1,151002_ig_TpCL22_1_2,151002_ig_TpCL23_1_1,151002_ig_TpCL23_1_2
20815410.71,20103496.7,15905856.89,14939128.25,21848819.5,21568501.68,14204360.85,13046311.76,18756163.46,17787135.86,1301747.547,1514941.291,15936583.47,14422083.17
38058425.1,38702948.49,30362299.62,30831459.68,41587910.96,45404534.26,25539517.84,24936007.33,57897737.89,57483618.1,58267485.95,60591011.76,61800644.85,55857275.73
11226229.95,11253524.89,8634860.019,8122907.949,13175864.27,12081611.57,8072484.262,7199739.368,15628417.58,15725723.33,17407905.52,18295626.8,17582900.11,16404625.54
931444.9509,865108.8118,669026.696,643960.85,1217917.475,1334530.511,806916.7027,720351.2096,1683982.317,1632527.134,1427358.727,1445746.759,1515596.158,1463274.944
13106701.58,13017550.69,9241963.776,9254941.105,13433627.52,13346550.05,9915007.274,9407759.272,10784931.53,10438715.93,3327946.504,3410105.06,8365872.967,8039581.093
1292875.515,1219216.633,860142.1745,775315.6571,1672357.623,1585607.182,759022.7411,720708.2303,2226387.012,1920483.711,1784541.432,1812097.143,1693646.72,1495426.727
552229.6552,570211.6491,412740.2047,416187.9031,656719.6844,666876.0074,315276.9325,333894.544,939285.646,967572.7686,687790.7407,765635.2854,840174.3457,708328.268
2405060.063,2387863.839,1686015.37,1584766.708,2781725.804,2772910.663,1673935.503,1666372.073,3222696.434,3251414.513,3974807.399,4182812.456,3328428.548,3031168.03
79518642.25,76951154.04,56463728.94,55702868.45,88028019.15,89420384.21,50133294.56,47995210.65,66060594.75,64218377.5,15850290.79,17470442.17,52945400.99,48271242.46
36836230.95,33468239.01,22747107.22,20534399.85,45819608.28,42152238.38,25209182.52,22152962.91,24655208.62,22800789.33,4229341.996,4194323.911,33950413.69,30737606.32
3381668.593,3364280.539,2646776.512,2687420.464,3831138.879,3953061.084,2309208.332,2222965.235,2952312.29,2900634.613,514924.1488,453594.9927,2644136.006,2604597.011
180807.5022,202941.3462,142632.6525,132107.4643,183161.7053,183833.0279,160351.6977,134651.3035,137488.6705,145541.7315,58820.93398,53394.26226,137238.731,124640.8835
2908592.865,2570597.803,1451971.111,1342166.035,2764904.262,2558275.676,1152297.497,1002435.069,3586827.829,3260922.328,3273634.891,3197259.534,2811882.58,2563493.259
1402187.143,1326690.263,936739.724,898062.5088,1358731.052,1337659.82,765255.9706,751768.3337,2058115.408,2005890.753,1719894.608,1899015.394,1623477.403,1514353.755
2918865.802,2849215.517,2490943.962,2325505.982,3436042.711,3403594.718,2302729.312,2267925.621,2747107.603,2565379.274,495712.9576,566816.476,2530188.798,2181051.15
33521404.87,31610392.22,23370598.55,21521774.75,32462050.91,31083624.63,20948445.66,19266280.69,26398980.81,24979546,3672037.452,3729524.795,25215192.75,22954841.07
4091044.688,3956596.994,2974389.261,2882462.546,4187112.772,4229896.785,2735175.715,2615544.054,2818755.328,2754883.919,1234317.704,1302141.007,2730073.915,2712517.395
239381.2607,214225.3022,161873.5018,133065.4751,199391.5083,201791.6286,86629.45992,76144.8513,163423.5417,128258.6637,33859.9319,31534.74222,146251.5357,129642.2608
7704208.861,7405574.639,4105129.876,3752984.889,7506656.808,7273172.529,3664354.31,3118125.379,9295968.999,9069301.613,9077528.176,8568577.531,8895132.511,8092185.053
3548902.379,3218706.716,2233265.527,1972515.187,4762326.564,4305054.204,1982858.906,1825915.113,4960574.456,4524491.024,4469485.656,4577508.995,5231738.82,4518037.064
11669684.37,10930660.18,7100123.622,6727794.878,13168336.33,12366029.87,6209507.954,5671168.916,8557511.483,8019727.359,2142822.964,2127906.586,7660838,7338365.394
462385.6039,390013.7469,284330.5931,286126.1524,449815.8444,414802.8953,313183.4036,256954.763,312907.1884,270662.8143,161956.0754,165999.1342,263789.0224,230493.9326
15513017.94,15872181.43,13772163.3,13008738.84,18379234.86,18241451.84,12275241.14,11750878.98,24652038.78,23896296.21,23895424.59,26929995.5,24665926.16,22509196.59
740064.2449,718847.4746,646329.1168,653907.4604,650318.1638,641007.194,431576.6302,411108.6404,651843.7708,580881.2098,39253.87035,63891.8965,625701.7429,575522.1921
3384733.245,3199397.143,2143836.598,2111542.33,3793405.245,3564071.275,1867716.542,1694388.412,2553812.735,2565670.504,470539.7729,497433.9586,2435684.298,2257909.632
93574400.5,91865354.59,65473231.66,66268264.29,115067981,114136424.4,61160207.84,56870879,135358327.4,131751519.8,134130592.1,138088912.6,129707573.5,125069123.2
