Intensity IN_1,Intensity IN_2,Intensity IN_3,Intensity IN_5,Intensity IN_6,Intensity PD_1,Intensity PD_2,Intensity PD_3,Intensity PD_5,Intensity PD_6
38555000,69786000,54561000,5117900,49019000,4194000,0,0,0,0
10188000,7708200,15873000,3139700,4750300,0,0,0,0,0
16048000,15343000,27619000,14870000,5272600,0,0,0,0,0
18822000,11009000,17069000,4254600,7406700,0,0,0,0,0
32147000,123980000,213360000,273740000,294400000,0,0,0,0,0
0,0,14568000,6607800,4198200,0,0,0,0,0
1247700000,891230000,1402400000,437040000,978080000,7381800,2052800,3760300,0,2442100
694710000,1728700000,2958500000,2191200000,3606400000,1621000000,837310000,1436600000,81216000,989430000
121470000,54268000,65126000,22946000,71143000,0,0,0,0,0
0,0,0,0,102810000,0,0,0,0,0
1874500000,1494500000,2372100000,1046200000,1901800000,32239000,15505000,26216000,3674600,16223000
3115800000,4887300000,6434900000,2284800000,3013600000,560240000,263830000,796960000,30694000,301940000
10175000,9003900,4536100,4553100,11867000,0,0,0,0,0
332850000,212940000,429190000,123250000,362530000,8295700,3921600,3164500,746560,4517600
5634600,0,10028000,4667500,6129100,0,0,0,0,0
253280000,266040000,531790000,142710000,286440000,0,0,0,0,0
143250000,163190000,207470000,104810000,267940000,0,0,0,0,0
490110000,282460000,504340000,242690000,429480000,0,0,0,0,0
0,0,0,0,0,15018000,17596000,16271000,273860,18293000
2185600000,1959400000,2741100000,1304900000,2579600000,165460000,74241000,128520000,8603500,97670000
910350000,642870000,953260000,464650000,641200000,1788300,1074500,0,0,0
38458000,21012000,10886000,0,25037000,0,0,0,0,0
17669000,0,20418000,18726000,0,0,0,0,0,0
49325000,24681000,46396000,0,13969000,1839600,0,1629400,0,494150
2689500,0,24904000,17650000,17203000,0,0,0,0,45151000
1113500000,530480000,928870000,449580000,1081500000,194700000,81181000,223800000,1278300,48675000
52781000,820770000,2290200000,8254100000,62107000,0,0,0,0,0
677280000,397420000,143800000,151520000,486580000,14664000,5125000,12872000,760820,2586400
45149000,45529000,55736000,85774000,81914000,0,0,0,0,0
1357700000,1426100000,2133900000,1312400000,1981400000,220580000,87906000,167600000,8138900,87392000
1184500,1620300,2251700,1868400,11123000,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4941500,2434100,6217200,3073400,8026000,0,0,0,0,0
15867000,0,14000000,4349000,8445700,0,0,0,0,0
0,0,0,0,0,0,9460000,0,0,0
1066300000,606540000,1148100000,433180000,689070000,60391000,24376000,65235000,8766700,22207000
0,0,16281000,0,13568000,7609200,1864200,9410400,969750,6304300
403880000,282440000,416940000,315860000,448190000,17215000,1634600,6730600,1125700,8823100
71482000,30237000,60953000,21335000,84187000,2997700,618290,3541000,232590,3998100
0,5729100,7466100,0,7915100,0,0,0,0,0
43554000,9611400,49562000,15709000,9183200,33100000,19487000,43829000,4463900,49767000
24588000,18243000,9976700,6233300,0,0,0,0,0,0
0,0,0,0,5076700,0,0,0,0,0
13819000,14863000,20007000,2924800,21632000,0,0,0,0,0
113800000,8729700,45187000,12222000,76569000,0,0,0,0,0
70726000,44288000,58067000,30457000,43009000,0,0,0,0,0
77860000,63890000,129990000,0,82175000,100630000,43754000,61199000,14747000,46568000
561600000,375470000,512070000,354070000,604200000,0,0,0,0,0
386660000,503720000,541620000,196280000,272550000,137340000,48805000,115140000,1889900,128610000
106890000,144600000,210770000,119660000,158490000,0,0,0,0,0
853070000,445710000,1022300000,436470000,659910000,455740000,331470000,451890000,235310000,434180000
70234000,56514000,74483000,53744000,87506000,9792500,8454000,9144800,902740,8466400
847670000,291730000,1014500000,514540000,913810000,84894000,61353000,147200000,12354000,106630000
851380000,249370000,382800000,73799000,126800000,1027300,0,1297100,0,0
23361000,11441000,17527000,10910000,25933000,0,0,0,0,0
264810000,151970000,300810000,159640000,312060000,0,0,0,0,0
285660000,165210000,245220000,140890000,169770000,6219200,0,0,0,0
194010000,211370000,278110000,183820000,297060000,8743000,5758300,7281500,870950,0
1274900,1223000,17123000,4518700,0,0,0,0,0,0
17148000,11017000,10106000,15996000,18636000,0,0,0,0,0
14225000,10223000,41667000,3095200,35384000,0,0,0,0,0
38320000,30075000,35298000,15882000,32010000,0,0,0,0,0
1716600000,1369700000,1192300000,764900000,1007100000,3598600,0,17769000,0,0
2411000,907010,3914600,0,0,0,0,0,0,0
201330000,58228000,109500000,51719000,166100000,1324500000,592730000,1436200000,132000000,747420000
27919000,16763000,31959000,4210100,16090000,70553000,36638000,0,442960,29607000
23305000,12917000,19795000,8062400,10865000,0,0,0,0,0
72700000,35227000,80173000,27001000,72654000,25387000,11132000,15556000,1908800,2054400
28416000,26403000,20055000,16551000,25334000,0,0,0,0,0
3695600,0,0,4941100,3971300,0,0,0,0,0
108440000,87130000,70877000,30751000,14098000,0,0,0,0,0
695900000,935460000,1233300000,692380000,943490000,20756000,4568700,10847000,2345800,7135400
21595000,10185000,16598000,4165800,7339500,2397400,1656100,3049200,0,0
9471000,784030,10748000,7865000,6688700,0,0,0,0,0
117680000,140570000,453430000,83523000,264880000,0,0,0,0,0
13177000,7198700,6726800,0,0,7321200,6690800,7638900,0,6003600
165050000,101600000,102400000,67104000,73322000,0,0,0,0,0
52329000,14792000,40499000,25263000,25744000,0,0,0,0,0
651010000,485870000,812460000,259750000,474340000,3553000,0,4118700,0,4163200
3132800000,2051400000,2757300000,2123600000,2706200000,92360000,42429000,100130000,3259800,57575000
1052300000,39792000,100340000,35519000,184680000,0,0,0,0,0
106540000,62339000,67810000,36498000,58972000,0,0,0,0,0
64280000,80743000,137890000,104240000,136720000,3790800,798810,2778100,1554700,0
195670000,166290000,236760000,108480000,203060000,87489000,41387000,80825000,8334800,30197000
0,16089000,20843000,11354000,12656000,80618000,75453000,162290000,3959900,42654000
