Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
3345300,0,147120,241560,0,85854,48600,544710,785320,545100,81152,421410,444450
5853100,2537200,705480,244370,73753,65857,108430,277130,1219200,82492,178270,70390,290530
1165100,294230,182190,0,67532,56174,0,311670,0,0,253290,0,0
8707600,950160,942930,671990,0,1112800,967170,523970,761880,788420,1246600,0,741640
4203100,335580,525790,346300,0,741850,361660,191160,212100,714840,435050,125690,213060
217390,0,0,0,217390,0,0,0,0,0,0,0,0
1455400,0,0,0,142600,144320,73605,489750,364210,175210,0,29904,35766
7332500,885910,994710,382220,361560,767650,405410,1142000,505180,377260,919270,228450,362910
1287400,214270,185550,69401,43267,127720,71296,142270,77344,76706,158020,54136,67388
60677000,1932100,2855200,2255100,8414100,8474500,7919400,10381000,6422400,5880800,2347600,1705900,2088400
107230000,5449800,5703200,6904300,9904800,12192000,10311000,13629000,18442000,12638000,3879000,3366200,4809800
42158000,1939800,13524000,3234700,1540600,2547500,3333500,3009900,1597500,3943800,4268200,1589700,1628500
4008800,685260,908340,0,281870,0,827120,1041000,0,0,265150,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
27891000,2507300,2475200,2583400,644390,2166700,2014400,2452200,2536300,4631700,3169500,943490,1766300
1770700,0,308780,143190,0,503750,209830,0,118530,175520,271160,39901,0
344520,147900,0,0,0,0,0,0,0,0,119510,0,77107
437660,73961,46860,0,26186,39616,25044,0,0,0,77253,99452,49290
2219600,0,0,0,349680,0,157890,1052700,0,0,659300,0,0
3175100,1385100,339000,0,110310,0,58181,295240,646990,61343,0,81501,197390
2671600,141830,238700,169980,98232,101280,82936,86094,95646,0,539190,564780,552910
289060,0,0,0,21680,52236,0,147470,0,67672,0,0,0
6259400,0,0,0,249190,382370,350830,817170,1605700,700760,682350,530240,940800
1899800,154370,197440,210130,65417,132420,110330,93402,128120,63944,259120,242400,242720
893720,102970,82346,0,0,0,22740,0,0,55494,243900,148890,237390
1267400,0,0,23802,0,81727,0,422350,527360,212190,0,0,0
422390,0,116980,46856,0,0,0,15574,0,0,131250,111740,0
540990,315420,0,0,105270,0,0,120300,0,0,0,0,0
1921700,132480,143780,117720,76667,86676,61505,65312,0,46746,485500,354560,350760
159600,0,0,0,0,0,0,159600,0,0,0,0,0
11459000,1928100,1888300,697470,284820,710140,534220,1516100,579130,958110,1486500,331400,544880
829440,0,0,0,0,62505,57639,98351,0,51779,260330,298840,0
2862600,0,209000,0,47364,110600,116420,0,112010,84670,803080,744830,634620
384460,83331,80226,0,0,0,27571,74251,25342,0,93741,0,0
680760,0,62888,60556,29945,0,0,0,0,0,220590,175760,131030
47381000,3264900,6796800,5160000,356360,6675100,2983700,2084100,2406100,9306400,4564100,1371200,2412400
13474000,1174200,1118400,1764000,197920,965700,1095500,996960,1329900,1735700,1499400,621110,975250
