DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
1697000,1764000,2139000,1736000,2504000,2235000,2080000,,,,,,,
104000,112000,135000,169000,199000,85000,138000,,,,,,,
92395000,84213000,86657000,89962000,75536000,26010000,67604000,,,,,,,
27310000,22721000,23723000,28484000,24518000,17872000,5758000,,,,,,,
2019000,2485000,1610000,1906000,1904000,785000,1080000,,,,,,,
7584000,6155000,6242000,6556000,6557000,4177000,3563000,,,,,,,
186000,192000,213000,250000,758000,186000,222000,,,,,,,
174000,164000,215000,196000,327000,192000,291000,,,,,,,
1674000,2225000,1887000,2385000,2097000,1254000,2555000,,,,,,,
3926000,4109000,4270000,5522000,6389000,5983000,5249000,,,,,,,
318000,330000,362000,405000,485000,504000,383000,,,,,,,
3313000,2739000,2961000,3815000,4637000,4673000,4725000,,,,,,,
72341000,65023000,63482000,74518000,76796000,53482000,18116000,,,,,,,
99866000,82952000,86354000,99063000,99752000,63684000,29201000,,,,,,,
14129000,10836000,12655000,13772000,13086000,8218000,4580000,,,,,,,
3341000,2290000,1938000,2762000,2617000,1850000,2191000,,,,,,,
6494000,5218000,5339000,5778000,10182000,4403000,2315000,,,,,,,
106000,144000,158000,193000,183000,142000,120000,,,,,,,
47030000,39906000,42723000,50364000,55674000,32249000,17132000,,,,,,,
6334000,6546000,6466000,6905000,13518000,7000000,7293000,,,,,,,
7853000,3579000,3305000,3642000,3708000,2918000,4441000,,,,,,,
7052000,6312000,7107000,7629000,7279000,7274000,5592000,,,,,,,
569000,502000,593000,703000,718000,537000,476000,,,,,,,
1031000,759000,888000,1031000,1102000,699000,942000,,,,,,,
4020000,3602000,4003000,4381000,4977000,2941000,2927000,,,,,,,
11916000,11862000,13554000,14799000,15539000,13581000,16923000,,,,,,,
151000,132000,155000,177000,191000,149000,152000,,,,,,,
280000,229000,228000,252000,304000,139000,425000,,,,,,,
736000,562000,706000,721000,907000,542000,880000,,,,,,,
632000,534000,546000,570000,716000,413000,1094000,,,,,,,
104000,109000,119000,116000,98000,83000,134000,,,,,,,
1261000,1206000,1288000,1204000,1592000,907000,1537000,,,,,,,
97000,82000,104000,113000,144000,104000,142000,,,,,,,
421000,48000,30000,55000,37000,32000,46000,,,,,,,
462000,350000,477000,512000,515000,248000,325000,,,,,,,
100000,92000,82000,85000,135000,60000,147000,,,,,,,
413000,372000,355000,455000,493000,314000,418000,,,,,,,
567000,659000,782000,863000,841000,915000,643000,,,,,,,
131000,108000,145000,150000,171000,158000,147000,,,,,,,
70724000,60659000,65562000,70054000,83424000,48831000,28838000,,,,,,,
136529000,128651000,125094000,140976000,150827000,99457000,40469000,,,,,,,
215000,1152000,326000,359000,256000,423000,336000,,,,,,,
375000,317000,388000,434000,473000,446000,420000,,,,,,,
261000,280000,292000,348000,191000,260000,397000,,,,,,,
3816000,3380000,3360000,3910000,4450000,3172000,4056000,,,,,,,
494000,391000,585000,0,3000,311000,468000,,,,,,,
