Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
1467500,244170,211270,150140,133860,74724,0,151490,255450,171380,45240,0,29801
2478600,354200,258730,268490,171150,175920,147140,236230,264530,238840,135210,135230,92957
4318300,433930,420090,328860,284370,206060,248900,375210,345480,284950,442580,562520,385330
14733000,1186800,834850,837120,595100,403470,538390,945630,1090000,1090600,2297600,2449600,2463400
15704000,1446800,3002700,3052700,727140,1384700,1485300,1087900,804290,2477200,235150,0,0
708740,0,0,126740,0,62288,88967,0,0,123420,0,195560,111770
1126500,35692,33992,25356,32695,25956,16929,37305,45193,46633,257340,293530,275870
204260,0,0,0,204260,0,0,0,0,0,0,0,0
3934100,314960,229780,220870,240610,191960,191780,445300,410430,371830,503210,443390,369990
5798100,711380,492290,570490,359490,296640,370350,604850,657720,579430,377970,468150,309350
139890,0,68963,0,0,0,0,0,0,70926,0,0,0
2487400,311200,258920,250990,148200,118730,152240,286480,463190,275100,78582,77744,66049
12377000,526020,431370,1414100,763160,1038900,824070,1277400,1054000,2100400,918860,1018900,1010100
16200000,1021600,943160,847410,547500,576130,556440,853230,997410,891640,2981200,3278700,2705900
6523800,139910,129430,86674,592110,994620,2561200,889910,472920,492390,0,0,164630
473310,0,0,0,104560,0,0,114670,0,254070,0,0,0
3721100,400190,323910,824780,431980,174500,0,541690,491590,392520,80453,0,59518
993440,175730,120090,136900,69804,44665,73281,82763,84386,65952,45810,51196,42862
486500,247360,0,92256,0,58268,0,0,0,0,0,88618,0
494910,0,40756,105840,85478,42627,45925,98050,43300,0,0,0,32934
483940,0,0,48902,0,90051,0,0,344980,0,0,0,0
989250,177890,121350,123550,110790,72769,0,173770,0,142150,66986,0,0
1642600,212570,154350,136400,103480,83955,79086,142210,158360,161390,150340,162510,97926
2012900,376320,259270,0,142960,143860,0,273950,302840,364270,77958,71441,0
4388300,842620,342210,513670,415290,223310,199300,385040,609030,625120,0,110240,122490
4577700,673560,427050,562580,547950,243780,123580,303250,729320,666810,103440,107050,89291
10189000,1693100,905290,1064900,787370,610950,544810,1172700,1032900,1057700,469830,450390,398590
998850,164740,175870,154940,34321,31324,36123,65669,51726,54876,90129,78674,60465
1982800,122050,83571,95746,78231,97497,0,158110,211270,0,301060,428580,406680
2496700,503760,299620,542010,0,158330,261770,0,215850,205800,0,309510,0
23465000,4123400,2175600,2453500,1187300,1195700,1309700,2389700,2659400,2476200,1212500,1161500,1120200
1000500,223660,163630,0,110630,0,0,149890,0,0,352650,0,0
210570,0,58390,0,0,25319,0,0,126860,0,0,0,0
18284000,2398700,1885000,2539800,915360,893520,0,1985000,1924700,2069000,1159100,1392800,1121100
43806000,6264100,4398400,4828700,2424600,2449500,3017500,4981100,4861700,5155000,1741700,2037700,1646400
3492100,711920,599420,645570,182700,108730,152510,296380,342890,401190,29901,0,20880
7469900,452450,502660,560970,473420,438550,509500,796720,722390,777510,720390,727390,787980
2211500,410480,327800,150940,153470,83754,22328,142320,327400,213960,178280,119490,81292
1341200,305900,190210,193370,57238,50090,53203,81080,81061,81021,76269,96351,75386
3737900,510630,328440,308310,262670,206950,192210,567620,540970,767290,33257,19599,0
473180,0,0,0,0,0,0,0,0,473180,0,0,0
10315000,1542100,1117500,440990,411780,309920,238720,921640,934110,731140,1377700,1276000,1013500
565240,0,0,0,141840,0,0,179150,0,0,244240,0,0
902110,234220,131760,0,119710,0,0,238700,87246,0,90472,0,0
1396200,162240,123190,125370,106920,67292,77661,126300,158930,176800,74063,102950,94464
4344000,1049000,385890,0,439230,228300,208720,531760,736170,710280,54634,0,0
10401000,2315600,1620600,0,1119800,1044200,0,1600200,1790600,0,909760,0,0
2693300,408980,385330,389410,196920,216610,0,288270,351650,0,220680,235460,0
383930,137290,0,0,97254,0,0,100180,0,0,49200,0,0
14471000,1163800,863060,1136400,1195200,766290,881080,1291700,1632700,1676400,1261400,1502700,1099900
128050000,18653000,10007000,9152500,7079600,3508500,3199600,8847100,11238000,10105000,17656000,16340000,12262000
4845300,1006000,658050,706790,301290,222980,254870,380950,455740,416060,147260,161110,134250
742270,327400,168260,177900,0,0,0,0,36403,32305,0,0,0
14920000,1946500,1469200,1441600,1365200,897170,981750,1795900,1619600,1575500,664110,584920,578450
