DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
353074000,296696000,284549000,302234000,237050000,273181000
59027000,46462000,47531000,35186000,33708000,34096000
116032000,135075000,120866000,102424000,120064000,174149000
791200000,710596000,514580000,462248000,457771000,538128000
23097000,32932000,52476000,35809000,48054000,117897000
21774000,82837000,65062000,71288000,49058000,75239000
126660000,105524000,125707000,125861000,168765000,99148000
4925000,18876000,16921000,13541000,6818000,14591000
69219000,62841000,71007000,89561000,52659000,49965000
346704000,291550000,323605000,378127000,253466000,293405000
1799932000,5404000,18359000,5327000,4883000,7508000
23211000,43765000,56925000,58724000,34871000,33666000
266698000,198015000,116505000,202739000,204962000,103102000
787456000,772858000,487655000,660438000,698711000,585336000
482190000,637187000,442347000,514828000,495071000,305940000
294566000,743606000,369422000,573096000,553914000,565218000
3820000,106439000,67523000,77230000,76986000,77180000
96671000,107758000,119487000,140304000,99228000,122203000
2290000,44740000,21776000,35743000,20569000,23130000
16620000,32493000,44384000,49686000,36250000,32095000
942155000,780833000,558391000,1099332000,1167267000,895389000
9060000,14937000,14411000,22453000,14012000,15322000
28782000,43614000,45534000,40278000,28067000,32927000
207701000,184854000,160790000,210385000,162893000,189927000
266797000,360846000,399140000,524415000,330014000,411343000
24000,9510000,9259000,10024000,6576000,8007000
591433000,547661000,305827000,624027000,622067000,514012000
12229000,0,1290000,690000,1782000,435000
23042738000,21008745000,19662780000,19366942000,22770307000,17333871000
204975000,204189000,164631000,242865000,174326000,217797000
187971000,205808000,344128000,293159000,323448000,310103000
697642000,731537000,565526000,809460000,507436000,764052000
861244000,966025000,666981000,1132921000,674817000,961726000
517473000,681374000,445673000,777017000,398327000,665613000
1117413000,1294167000,1419098000,1444613000,1161845000,1324685000
15168000,16055000,11360000,18463000,8100000,25217000
21468508000,19668949000,20992682000,20618216000,17199255000,19847834000
0,0,0,0,0,0
8511136000,8465384000,9015546000,8975185000,7393398000,9002435000
1811918000,1709005000,1945040000,1926720000,1543566000,2061470000
906883000,681714000,1125058000,869161000,798351000,851140000
733050000,954542000,1355787000,1342959000,970926000,1268532000
21413000,29017000,19585000,24815000,11663000,19249000
6739000,21996000,21502000,16882000,20607000,13864000
1777760000,1629317000,1695531000,2093341000,1778797000,1897752000
90107000,56908000,72740000,47484000,84580000,54776000
207463000,184424000,217457000,182136000,196526000,108620000
20771000,89425000,65176000,57501000,88328000,56275000
1002791000,1120869000,1285216000,1244672000,1031013000,901124000
26368000,25249000,15340000,28679000,21980000,30736000
7346000,20068000,29955000,40299000,26941000,52073000
60252000,73682000,54563000,109833000,55023000,98603000
4371914000,5409557000,5441526000,6979036000,5046339000,6267916000
6816000,23969000,22993000,23215000,28170000,21581000
83758000,106817000,109875000,116355000,100654000,82870000
23769000,25814000,15074000,21180000,14600000,19435000
32240000,102772000,103019000,122263000,69462000,93207000
948533000,997868000,1042892000,1344047000,1015552000,1167507000
675406000,733129000,651169000,928410000,669040000,688405000
63869000,35660000,34553000,41724000,30562000,32769000
252000,3124000,6628000,8349000,8402000,6672000
2419267000,2673196000,2833750000,2995583000,2660034000,2635007000
228000,6880000,4253000,7582000,657000,8472000
70739000,88995000,108630000,249981000,121495000,115693000
849571000,1108311000,1268581000,1365054000,1142806000,1053582000
0,0,0,0,0,0
3632391000,2857248000,3941373000,2980373000,3831182000,2555079000
450821000,433466000,427874000,645888000,446629000,546681000
171218000,195399000,184061000,258334000,182433000,275898000
684038000,444058000,415383000,364998000,547650000,415163000
372351000,372578000,453996000,456042000,426389000,364711000
6632000,10052000,13250000,9419000,8556000,10981000
58572000,47067000,48145000,43521000,57332000,36851000
6203000,6899000,8440000,16039000,8302000,10394000
17592000,11031000,13572000,21835000,18432000,12568000
6173142000,6517321000,5876811000,6075461000,6207688000,4981373000
56983000,73093000,63107000,125006000,88195000,132861000
23195000,23960000,23021000,42151000,22899000,38941000
1327275000,820378000,626915000,920925000,1225670000,673221000
1.59117E+12,9.32668E+11,1.13423E+12,9.46902E+11,1.25183E+12,9.25397E+11
5.0349E+11,4.07136E+11,3.82547E+11,3.64212E+11,4.50771E+11,2.91172E+11
0,0,0,0,0,0
0,0,0,0,0,0
315234000,272369000,83188000,188519000,140599000,160703000
