K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.032815,7.438084,7.820897,8.031372,7.773667,7.822726,,7.76219,7.861565,,7.528369,,,,,,,,,,8.141484,
7.381743,,,,,,,,,,,,,,,,,,,,,
6.78431,,,,,,,7.581069,,,,,,,,,,,,,,
8.115839,8.075215,7.341989,8.033151,7.626295,7.681067,,7.650472,8.096482,,7.225025,7.925474,,7.836339,8.33187,,,,8.247272,,8.016475,
8.493864,,8.258703,8.399209,8.408383,8.264771,,8.057894,8.685148,8.214709,,7.613464,8.090798,7.782545,,7.853501,7.834773,,8.392816,,8.097518,8.038951
6.988412,,,,,,,,,,,,,7.542663,7.779998,,,,,7.525649,,
7.846769,7.822174,,,,7.6258,7.562865,7.554194,,,,,,,7.757167,,,,7.755608,6.801229,8.03097,
7.790391,7.973289,,,,8.429918,,,,8.038649,,,,,,,,,,,,
7.581416,,,,,,,,,,,,,,,,,,,,,
7.737137,7.410392,,,,7.21486,,,7.289228,,,,,,,,,,,,7.807354,
7.659529,7.425412,,,,,,7.274881,,,,,,7.553486,8.057315,,,,7.421374,7.738327,7.847771,
6.882678,,,,,,,,,,,,,,,,7.486155,,,,7.798909,
8.680633,8.499356,,,,8.066637,8.648662,,8.669247,,,,,8.41403,8.595653,,,,,,8.420867,
7.307206,,,,,,,,,,,,,,,,,,,,,
7.675334,7.949483,,,,7.85813,7.920972,,7.94687,7.603128,,,7.276556,7.990774,7.801963,,,,7.852999,7.791142,7.979341,7.337101
7.436143,,,,,,7.026143,,7.08636,,,,6.614657,6.700443,,,,,,,7.0759,
6.992841,,,,,,,,,,,,,,,,,,,,,
8.714958,7.803685,7.682091,,7.556566,8.469,7.725081,7.747275,8.45529,8.150771,,,8.31669,8.583498,8.381664,,8.425475,,8.247218,8.405274,8.622198,7.834469
8.385839,8.380269,,,,8.212001,8.138039,8.272879,8.212459,7.962159,7.633842,,8.190169,8.588676,8.069788,,8.148886,,8.183849,8.2451,8.154047,7.857574
7.71894,,,,,,,,,,,,,7.15881,,,,,,,,
9.304419,9.213916,7.843386,8.220519,8.130863,9.618082,8.995698,9.703661,9.22597,9.301249,8.370959,7.382329,8.388933,9.13515,8.010922,7.160101,8.500706,7.367643,8.411189,8.836387,9.022131,8.178961
9.059149,8.925712,8.047913,8.31342,8.220717,9.382822,8.677754,9.442072,9.034401,9.128366,8.307878,7.382329,8.324844,9.096753,7.275698,7.160101,8.587404,7.52471,8.440826,8.752082,8.705058,8.050724
7.462451,7.335957,,,,,7.296212,,,,,,7.885292,,7.92264,,7.60161,,7.948367,,,7.888315
8.994756,8.848662,7.843386,8.420186,8.220717,9.272539,8.594334,9.276013,8.889263,9.0024,7.839364,,,8.939378,7.275698,,8.706791,,,8.673359,8.635574,7.639165
7.619682,,,,,,8.028258,,8.075261,8.010886,,,,7.24862,,,,,7.648935,,,
