LFQ Intensity Lysate I,LFQ Intensity Scrambled I,LFQ Intensity Norad I,LFQ Intensity Neat I,LFQ Intensity Malat I,LFQ Intensity Lysate II,LFQ Intensity Scrambled II,LFQ Intensity Norad II,LFQ Intensity Neat II,LFQ Intensity Malat II,LFQ Intensity Lysate III,LFQ Intensity Scrambled III,LFQ Intensity Norad III,LFQ Intensity Neat III,LFQ Intensity Malat III
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14560000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6337100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130570000,0,92071000,0,0,218880000,0,92576000,105970000,0,183330000,0,92118000,0,0
49884000,0,55501000,0,0,58417000,0,55689000,33861000,0,52463000,0,44669000,0,0
649420000,75291000,479090000,0,123350000,503990000,63639000,270350000,306540000,35978000,367000000,739340000,202030000,71025000,0
0,0,0,0,0,0,0,0,0,0,42729000,0,0,0,0
137060000,0,89372000,0,0,94631000,0,39584000,51026000,0,84427000,0,56385000,0,0
0,0,0,0,0,0,0,0,0,0,0,71322000,0,0,0
296070000,0,203340000,0,36858000,330400000,68578000,247150000,225180000,50681000,183260000,161250000,127570000,21943000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23496000,0,0,40785000,0,20238000,20918000,0,0,0,19148000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1152300000,0,0,0,0,0,0,0,0,0,281520000,0,0
80412000,0,31600000,0,0,73615000,0,0,0,0,106450000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25136000,0,35321000,0,0,26900000,0,80247000,33015000,0,0,0,42029000,46604000,0
583110000,70867000,377700000,134580000,90112000,856030000,64035000,174090000,179340000,66072000,755310000,0,202120000,40929000,0
0,0,0,0,0,0,0,10097000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8974200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,15922000,17826000,0,0,0,20707000,0,0
27981000,0,0,0,0,11058000,0,0,0,0,0,0,0,0,0
14808000,0,20590000,0,0,18511000,0,18127000,14421000,0,0,0,0,0,0
0,84208000,0,0,68219000,0,35105000,0,0,0,0,39552000,0,45013000,0
0,0,0,0,0,0,0,17897000,18044000,0,0,0,0,0,0
105730000,0,66316000,0,0,94164000,0,47509000,54728000,0,80535000,0,52230000,0,0
35964000,0,25029000,0,0,31229000,0,0,0,0,35098000,0,0,0,0
