NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
228568.1958,168287.5966,274.6021685,916.6844753,37990.88576,64437.51745,2306.305072,384.9469449,19141.92183,125995.9685,7672.616825,297.7651404,1246.538803,539345.3295,10340.70999,5649.045329,71320.59842,7152.563547
44919.27173,184287.8199,964808.1894,59245.6085,180239.8917,133414.0297,113277.9166,61134.48999,137777.5845,50120.65197,34363.14392,5380.32526,155533.1976,18576.4884,118400.9694,17277.35183,6385.562539,5867.882704
167217.2394,429737.8123,31452.44567,39964.99935,777183.1781,263476.0524,15276.67407,3070.037973,260303.1218,221218.211,13052.00625,24411.16439,252097.1639,253226.0173,6343.778321,21473.21339,39639.20389,24278.12482
102539.0533,56049.35669,6932.91987,5080.72446,131336.6898,129497.6404,4729.432634,5050.611456,8407.001332,93730.59757,9868.297723,36509.05942,2522.453858,142033.1284,7191.674475,37530.31813,56246.13996,3555.32069
81230.77949,48134.71682,3994.207717,2597.754359,136290.8347,90097.40185,5666.899068,1433.946395,11331.45531,91865.89281,5969.75708,513.8399602,1416.999175,147367.0154,3735.106071,2108.492928,97482.05027,11549.20899
90876.46836,281173.6756,67113.60388,5760.086591,320879.2518,229995.0445,13066.74491,18023.71171,192034.3913,165066.4395,12386.29753,23108.6671,108659.5971,163917.0998,13811.40107,8130.701213,45748.30434,38253.22169
767.2245175,17903.09495,405.3351812,1368.545902,2979.513692,29155.75691,2063.059522,2731.386529,11871.77732,5160.234109,1879.759135,6362.8166,1734.746477,4866.610604,6914.790417,8799.277177,345.9981246,774.61852
25193.87953,189879.6294,488171.6885,74598.21494,353813.0956,137777.7016,140671.2701,3807.295952,226820.409,54083.6339,13190.62545,9304.412842,226520.7278,12740.84281,4177.299974,1548.070091,9126.146742,4459.82488
14815.20414,208164.3006,68864.33253,1442.046676,79178.15824,112273.6961,4937.970213,2140.874504,320535.0292,87768.08811,93650.59061,15113.19635,536949.7059,14090.91815,27663.60272,845.8087337,10303.4582,40210.83986
880.231951,29387.48672,12877.56736,551.6501079,5017.903909,4099.021084,3481.831799,780.4065677,38913.07487,6999.071803,8620.582911,11257.31885,93435.08783,1013.146778,4589.182129,6813.746573,1766.599544,890.8864573
318457.9181,453938.3001,23817.88224,63644.5237,109036.9812,277726.2809,470.8025583,1591.914942,16261.42465,116901.2801,804.3845177,3773.542338,5275.75891,384287.6122,2798.307495,1148.004921,58137.05795,3434.975542
31109.32697,72342.28285,6199.011172,6339.234022,14026.87931,27925.41335,5175.703603,NA,4493.075634,19284.47303,945.0499104,12108.82041,8174.715182,67163.24743,1519.464438,6084.875574,3854.755664,5723.873534
8840.796883,7692.046478,1537.819545,3208.613011,88052.45128,65070.52487,2482.78915,4528.177386,10588.45977,13358.01382,656.0474908,9925.851095,5107.545537,30986.55298,91.65355634,2097.92704,5916.248987,3866.950938
50747.82668,103922.7642,343351.9518,32949.13403,129737.0767,100758.5282,953.8490646,134.7071733,172336.9959,60936.94359,41.07223871,126.7973842,112744.4498,29036.9331,949.6967022,299.4328797,17667.06415,1263.908362
31901.75141,152018.9681,637078.2386,107358.2219,281373.0137,165422.2712,75206.1406,59869.36761,313276.2214,64154.37013,44551.58752,18973.14484,230652.4333,28558.85571,144814.0407,31963.54603,9282.749149,26907.42515
8585.985208,27094.88213,155181.5533,19748.87314,56829.29934,40684.35867,16058.76419,13691.94111,70827.77642,8002.364108,2930.869192,576.3972045,59461.60784,4281.877152,28913.18893,3810.322826,1676.090491,1636.476545
32193.58794,141195.0802,10166.37699,1527.356973,162875.5436,153860.9055,9729.906484,2680.311474,120934.3627,69889.54024,14266.71079,3263.755038,193595.8495,21486.99747,6461.744264,96789.09448,30141.9849,8134.290693
31109.52801,130112.3621,2959.301642,641.5364377,141537.4112,128163.8536,5824.345532,NA,102186.9258,57556.64216,8740.493509,905.2226393,178063.4108,17946.22879,845.0687936,83261.74259,29073.83402,2536.660684
200557.9343,95271.7081,21121.37802,9600.53489,274613.6051,347274.2082,11799.25864,30910.07282,15879.9353,112468.2172,3392.090337,28954.81549,6633.279044,212569.2427,20728.75614,15789.86966,60387.5618,27921.47575
155783.8479,165146.4731,NA,NA,64201.71724,94867.01998,1617.933978,22.95311762,5054.059899,54028.18607,NA,NA,NA,90473.65618,768.1492855,929.3295429,26590.71519,412.8399978
118054.8778,32204.04366,52779.25752,125776.0062,67379.10398,88791.07324,29436.70519,15547.45535,152469.0419,41463.56133,60228.07107,10952.52066,127409.7081,101943.8034,8306.758648,2114.342295,139750.1093,134015.5177
70898.87368,44230.71984,42773.33854,113117.8639,26967.81165,31476.64091,6643.420541,6837.12469,142843.5583,35883.18801,31110.28501,10578.2286,105022.8254,54899.54229,13883.27833,4496.898476,71254.68699,115743.1138
47434.64278,5324.653777,14603.4646,48000.7837,14369.60007,20781.08285,2822.626286,4711.998637,44575.39477,9425.404052,8954.63441,4557.664138,42614.19473,13094.8201,6124.063961,269.9703293,51114.93089,53941.37308
68665.01396,28519.85079,29174.8523,120500.0493,42008.56287,45916.65225,6874.573188,6161.771322,104078.8667,32286.61255,60678.84132,2850.681048,88172.86675,37564.22174,4521.676748,3225.114207,82932.85682,83863.54075
53708.08972,15744.2384,14355.03694,109251.7563,22634.29777,37398.98673,6960.068801,5957.436347,88071.32701,17723.03422,35086.31711,3412.025866,77362.33981,21844.14691,3397.567051,2126.399538,48326.77341,83299.73599
26767.75755,9405.576718,10380.66693,60507.91623,5984.38751,11946.13287,2906.253786,1318.853729,56844.06552,4094.738665,13825.31167,1253.448869,43138.86344,12823.3414,1147.830264,2127.744322,37640.83235,59293.09094
20106.65863,NA,389.0520085,33322.96616,NA,5571.685262,NA,511.1819073,16302.19305,1362.208321,NA,3188.390612,15870.66931,7150.562439,NA,1533.706772,17493.82524,33180.95996
2580.402077,218.5816133,1362.964513,NA,367661.9419,413.86916,1028.893024,990.1893294,44.0438989,411.2241786,434.0510891,462.7414546,1193.301915,180.5587341,964.3237136,1223.716923,NA,604.9902637
NA,288.9170035,NA,NA,140.5072706,110.0928304,74306.42245,985.8930119,178.6700189,1431.799869,161.2947916,15.27259997,1836.08777,NA,NA,561.7654072,3416.899051,2144.737144
17994.2351,102650.0933,4373.770104,NA,134009.2114,40313.49589,512.5069742,263.2418727,25589.02857,19328.64859,3590.799187,2745.365098,38798.44027,13069.53097,1588.32951,280.7414881,11281.96864,847.1616644
7090.966641,162347.0505,110537.2731,35782.20518,72836.7419,105245.3297,35679.36847,59347.61675,267527.27,13520.5866,120614.1622,65548.23624,441630.9942,6836.469299,38442.64406,14269.5665,19223.79048,31410.34463
7090.966641,162347.0505,110537.2731,35782.20518,72836.7419,105245.3297,35679.36847,59347.61675,267527.27,13520.5866,120614.1622,65548.23624,441630.9942,6836.469299,38442.64406,14269.5665,19223.79048,31410.34463
39554.37671,65775.09981,683.1266023,69.21338605,138807.2221,120032.0838,85.59033396,100.0526265,65831.53841,99107.86963,380.0896648,470.7560108,21358.81836,144595.4543,265.7742731,719.3448384,8977.807847,2695.907809
26908.25102,39692.98783,2759.78294,2324.244008,77077.27247,57818.95067,2355.308768,5380.701822,45111.41837,52787.87519,1515.571737,2043.981426,19015.05484,66330.31224,16125.17551,39037.77488,13240.90746,6472.487828
20671.40661,71967.11985,248108.767,28020.67408,114712.354,59011.9669,11716.67617,91602.96447,80825.79322,12906.5875,10382.9474,9009.912655,78988.25569,13189.82495,41683.03304,3373.156068,13866.60097,5185.027982
94118.21788,33561.31701,49766.62065,65680.63047,114355.5915,373822.4267,135518.2963,315309.9078,15501.60189,33925.33865,40081.75269,303078.8072,30136.65484,40222.12188,61150.93423,101481.9604,13041.78035,21221.69394
