Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
2482.2,2570.3,2315.2
2429.8,2420.8,2255
1348.4,1171.8,1248.5
944.6,1018.8,870.5
2954.5,3230.5,2716.9
1748.8,1810.9,1579.2
585.1,572.6,526.4
2609.6,2454.9,3157.4
975.5,958.7,1145.4
16539.1,16300.5,19002.1
634.4,669.6,729.4
448,500.4,506.7
3572.9,3162.6,4025.1
5509.4,5104.9,6190.3
864.3,913.5,964.2
4197.3,3948.4,4663.7
486.8,543.5,538.8
4290.3,4229.7,4751
3950.9,4505.8,4366.5
1480.8,1535.2,1635
1778.1,2092.8,1955.7
1766.6,1761.4,1939.1
708.5,714.1,776.2
1682.6,1832.8,1835.8
872.6,918.5,951.1
3354.9,3007,3632
685.5,654.1,740.4
274.5,266.3,296
569.6,543.1,613
1399.9,1736,1505.9
1781,1246,1908.4
441.4,462.2,472
923.6,958,988
845.1,799.5,902.7
2696.2,2643.6,2867.6
921.5,952.4,979.6
809.5,902.7,857.6
1765.6,1777.8,1868
1570,1484.5,1654
1004.3,954.3,1058.5
2803.2,2590.3,2936.7
1072.5,1040.9,1116.8
1458.2,1366.9,1517.2
582.8,524.1,604.1
1910,1725.2,1971.6
1558.3,1449.8,1608.7
611.7,660.6,629.9
4613.4,4278.3,4739.2
809.9,798.1,831.8
720.2,733,738.4
1675.8,1800.5,1703.9
2370.4,2060.9,2406.5
628.2,618.3,635.4
698.6,750.3,705.2
1952.1,1887.7,1967.3
1120.2,1136.6,1128
1696.9,1445.6,1708
544.5,519.4,543.4
814.1,898,812.5
825.7,710.3,818.1
1885,1860.6,1865.5
2110.9,2112.9,2083.4
3419.1,3358,3371.5
1691.2,1722.3,1666.8
699.3,756,689.2
2920.1,3175.6,2873
1040.4,1093.7,1022.8
900.6,855.8,880.8
902.7,854.6,880.3
961.9,944.1,933.8
4547.8,4579.4,4374.6
612.4,554.9,587
3480.3,3125.8,3325.9
2399.4,2548.6,2284.9
833.4,852,790.1
4014.3,4174.6,3799.2
1431.3,1445.2,1343.6
1624.9,1559.6,1504.2
1606.9,1714.9,1486.3
1556.6,1699.4,1433.5
1181.2,1181.8,1080
2463.1,2456.1,2249.2
3555.1,4117.6,3246.7
829.1,849.3,756.1
1447.4,1525.9,1306.4
1281.3,1267.2,1148.9
6185.7,6425.5,5486.8
1108.9,1182,981.1
1510.2,1567,1334.2
2418,2435.5,2124.7
4866.8,5090,4230.5
2691.2,2568.6,2097.7
1284.4,1311,1593
442.7,421.4,515.1
4100,4589.1,4747.5
736,655.3,828.2
3741.4,3756.3,4203.7
2951,2751.7,3312.5
742.8,745.1,831
750.5,752,833.8
1869.7,1844.7,2054.6
779.3,743.7,852.3
520.5,533.2,565.2
1375.6,1358.9,1494
888.4,876.6,962.3
1283.7,1274,1388.7
1980.8,2130.8,2133.3
2428.9,2662.7,2608.7
2007.3,1805.5,2150.6
1614.3,1423.5,1725.6
937.3,940.1,999.8
1180.5,1234.1,1260
2269.4,2118.1,2419.5
945.2,971.2,1007.9
1391.5,1685.8,1475.1
871.3,909.1,923.8
939.3,870,987.2
708.3,645.4,743.1
456,486.2,478.2
2060.1,2146.7,2156.5
1175,1080.7,1230.1
1775.4,1576.9,1856.2
2445.5,2281.1,2549.3
437.6,435.9,453.7
2125,1920.8,2199.3
714.6,744.8,739.6
2937.7,2721.8,3009.1
420.2,461,428.6
2686.6,2536,2741.8
1667.3,1642.1,1699.1
867.9,840.5,884
753.7,712.8,767
1737.8,1689,1761.4
1378.3,1363.1,1394.5
3922.3,4460.8,3952.8
1309,1341.4,1315.2
1442.2,1440.7,1447.7
716.7,730.6,719.2
1385.1,1414.4,1384.9
1329.5,1258.4,1325
3106,3368.4,3090.5
631.6,647.9,627.9
2417.9,2557.6,2401.1
530.2,880.9,526.7
1237.9,1316,1227.5
1397.8,1445.8,1382.5
5393.9,5028.3,5318.6
578.5,560.5,568.3
432.3,453,424.3
970.1,929.3,951
324.8,337.5,317.8
869,911.8,850.1
528,566.6,514.9
476.2,507.3,463.6
1372.9,1439.7,1333.5
1334.7,1475.9,1292.6
1347.4,1255.9,1301
706.5,782.3,680.3
578.4,575.7,554.1
977.9,1039.9,937.1
770.2,834.6,737
3308.4,3605.2,3153.5
