Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-7.53081,-2.35698,-2.31369,0.23246,-0.01139,-0.0439,3.07123,0.17734
1.72881,1.02986,3.76155,6.82573,4.78263,-1.78142,0.15941,0.02884
1.3445,7.23144,8.82204,1.0319,2.3652,-2.83498,-0.09443,-2.69132
3.54047,14.06591,11.26158,-0.05266,2.59241,-4.1092,-3.81414,-8.48473
2.73232,7.97225,2.56235,3.29203,0.05592,-1.54966,-0.95039,-2.9037
-0.73979,0.17533,-3.85687,1.73569,-2.54067,-0.56388,-0.07881,2.16739
-2.23672,0.36885,-7.84545,-0.77788,-3.50304,-0.28222,-0.96316,0.71021
-0.17121,-1.5285,-5.19278,-1.53266,-2.55178,-0.15271,-0.97635,1.05037
0.13573,-1.94055,-3.85572,-1.47977,-1.93069,0.00266,-0.11627,0.95325
3.30056,-0.89666,-3.17132,-0.72159,-3.3503,0.0834,-4.50637,1.08558
4.77399,-1.69381,-1.5748,-2.01772,-0.5708,1.88314,-1.6415,1.99089
-0.61781,-0.04963,-0.985,0.01547,-0.79301,-2.91267,0.46846,-0.16886
1.1872,0.37481,0.32437,0.03903,-0.2439,-0.12005,0.37668,-0.14711
-1.14754,-0.68295,-2.20123,0.03776,-0.51307,-3.16361,1.55764,-0.83884
-0.51348,3.33319,-0.82588,-1.97399,-0.32351,1.69163,-1.41503,-2.02961
-0.20841,-0.39238,-0.05451,-0.87408,-0.06021,0.37566,1.43509,-0.06466
-0.97393,-4.86569,-4.92185,0.02588,-0.42129,1.62694,-1.72188,3.23704
-3.10807,-1.58603,-0.85712,-0.3438,-0.19218,-1.57604,2.60455,-0.08483
-8.73283,-7.43378,-3.42134,-0.58346,-0.96261,0.09035,1.2131,0.0472
1.64429,0.68043,1.12194,7.31988,1.50639,-1.43606,-0.18873,0.08733
-0.66265,1.40285,7.89083,1.71657,0.62763,-0.11649,-0.24742,-0.25198
-1.13626,0.23393,-0.1083,1.47728,-0.17145,1.91624,-2.97342,0.29518
-6.04691,-0.38715,-2.48327,0.62003,-1.72951,-0.77435,0.84528,-0.14464
