Log2-transformed iBAQ NOR_1,Log2-transformed iBAQ NOR_2,Log2-transformed iBAQ NOR_3,Log2-transformed iBAQ NOR_4,Log2-transformed iBAQ NOR_5,Log2-transformed iBAQ NOR_6,Log2-transformed iBAQ CKD_1_1,Log2-transformed iBAQ CKD_1_2,Log2-transformed iBAQ CKD_1_3,Log2-transformed iBAQ CKD_1_4,Log2-transformed iBAQ CKD_1_5,Log2-transformed iBAQ CKD_1_6,Log2-transformed iBAQ CKD_1_7,Log2-transformed iBAQ CKD_1_8,Log2-transformed iBAQ CKD_1_9,Log2-transformed iBAQ CKD_3_1,Log2-transformed iBAQ CKD_3_2,Log2-transformed iBAQ CKD_3_3,Log2-transformed iBAQ CKD_3_4,Log2-transformed iBAQ CKD_3_5,Log2-transformed iBAQ CKD_3_6,Log2-transformed iBAQ CKD_3_7,Log2-transformed iBAQ CKD_3_8,Log2-transformed iBAQ CKD_3_9,Log2-transformed iBAQ CKD_3_10,Log2-transformed iBAQ CKD_3_11,Log2-transformed iBAQ CKD_5_1,Log2-transformed iBAQ CKD_5_2,Log2-transformed iBAQ CKD_5_3,Log2-transformed iBAQ CKD_5_4,Log2-transformed iBAQ CKD_5_5,Log2-transformed iBAQ CKD_5_6,Log2-transformed iBAQ CKD_5_7,Log2-transformed iBAQ CKD_5_8,Log2-transformed iBAQ CKD_5_9,Log2-transformed iBAQ CKD_5_10
NaN,18.84750938,NaN,18.11156273,16.19675636,NaN,20.31373787,18.27794075,18.8243866,18.69757843,18.6272068,NaN,NaN,NaN,19.25508881,18.20867348,NaN,NaN,NaN,NaN,NaN,NaN,19.05316734,NaN,NaN,NaN,NaN,NaN,NaN,19.91480827,NaN,NaN,NaN,NaN,18.76910782,NaN
20.04753494,20.19664574,22.50942039,21.76551056,21.20693398,21.57158852,21.47901917,21.1799221,22.26776695,22.51026535,23.66307831,19.51908684,25.26305962,23.8986454,19.70367432,22.13814926,20.58627892,16.54859543,18.11842346,21.90664864,22.60254478,22.16395378,20.03335381,20.48049927,17.64610863,19.25312805,19.84806061,20.48748207,18.32685089,14.02158737,22.81139183,19.34871101,22.98156548,22.94549561,19.72304153,19.91093636
NaN,NaN,NaN,NaN,NaN,NaN,20.8233757,NaN,NaN,NaN,NaN,19.00138092,NaN,19.08132172,NaN,NaN,NaN,20.00840187,NaN,NaN,NaN,22.8303566,NaN,NaN,NaN,NaN,19.87241936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.58413315
21.38426971,22.06019211,22.02441788,22.7023983,22.58345795,20.40779495,22.02347183,21.24312973,21.58251762,22.12921333,23.65086174,19.637537,23.34854317,23.60172844,18.72287369,21.27719116,20.69659424,16.11341667,19.47097969,19.24251366,20.41421127,19.17713737,22.05443954,15.93396759,18.76555252,18.03084946,16.99843597,18.74560165,NaN,15.68975258,17.30776978,16.61223412,NaN,NaN,18.47230911,NaN
20.96944237,NaN,21.42828751,21.95705795,21.223526,21.74271011,19.96380997,22.77906418,21.40769005,21.52511406,20.81706429,19.86681747,22.30860901,23.94172096,20.99996376,20.86188889,23.22398186,20.67865562,20.30996895,22.524683,22.02877426,22.90639114,24.07365608,22.87105751,20.2396965,20.33265305,24.19355011,21.72750092,23.81401634,22.24173355,23.96772003,20.72384071,22.0469017,24.40898705,22.67374802,20.87807465
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1487751,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.87399673,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.33673286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.82012367,19.11560822,19.29452705,20.35401726,19.4750042,18.63431549,19.09401131,18.16869164,17.13390541,20.22317123,22.01246452,NaN,20.83537865,20.77603531,NaN,16.08574295,16.10829926,NaN,15.16211605,17.19710159,20.65639305,18.78551674,19.27095604,11.79964542,NaN,11.37172222,NaN,NaN,NaN,NaN,16.76733017,15.48202038,16.1739502,19.56950378,16.93755722,NaN
15.73328018,18.64375114,NaN,17.89764404,16.57019615,16.95071602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.23939323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.30179977,NaN
