old_1,old_2,old_3,old_4,young_1,young_2,young_3,young_4
27.43205,27.78469,27.64815,27.34511,26.37946,26.67963,26.98207,27.29973
25.25093,25.91723,26.3081,26.39802,25.22913,25.29772,25.15565,25.32732
26.01793,25.11525,25.30609,25.43371,25.56465,NaN,25.30163,24.97946
27.07918,26.91934,26.92818,26.99593,27.13516,25.88686,25.77168,26.27309
30.65617,29.84025,29.50611,29.44876,28.88122,29.25,29.32573,29.13892
24.60981,26.39604,25.49045,25.20486,NaN,25.58758,NaN,25.50594
25.86202,26.06201,26.38627,26.66153,25.34225,25.501,26.04275,25.23903
28.23123,26.54191,26.52823,26.26687,26.11708,25.84467,26.36468,26.39722
25.94889,26.72312,26.97158,26.71673,26.85935,26.23332,NaN,26.44225
28.62544,28.49637,28.21085,28.20979,27.51111,28.0358,27.58276,27.59149
26.59121,27.84715,26.89758,25.81965,26.36998,25.89717,26.9486,NaN
32.26925,31.31225,31.58616,32.31338,30.43966,31.48443,31.52468,31.21234
27.03433,26.37302,26.545,26.83316,26.75226,NaN,26.56695,26.28049
28.30243,27.08548,27.36703,27.49892,26.61681,27.14938,27.29448,26.38698
27.36645,26.70596,27.63027,27.73273,26.76243,26.63934,26.69219,26.54684
30.18966,30.86968,30.12053,30.46577,29.7875,29.59071,29.81441,29.66937
29.57856,29.36083,29.30274,29.67066,28.95266,28.243,28.90701,29.03865
27.49777,26.09013,27.16787,26.71999,26.08357,26.79352,25.7743,26.05316
24.89037,24.0451,24.30543,25.05374,NaN,NaN,NaN,NaN
27.04708,27.61133,27.85323,27.97367,26.321,27.3836,26.94011,27.07368
24.91388,24.03078,24.06382,24.43955,NaN,NaN,24.14562,23.94985
27.2049,27.83605,27.30069,27.54311,26.96796,26.48732,27.18509,26.48806
26.7753,25.90981,27.41385,25.89929,NaN,25.18204,27.11197,26.10727
31.42031,32.22228,33.4339,32.72645,30.20804,31.93954,33.00175,31.90849
26.70701,25.54436,25.9021,25.58887,NaN,25.37142,26.4855,26.00337
25.66275,26.47906,26.05501,26.68057,25.72767,25.93312,NaN,26.23929
