"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
97.7,103.7,82.4,92.9,80.9,106,86.4,108,125.7,116.4
102.1,47,176.2,114.3,38.7,155.4,101.2,85.1,81.6,98.3
106.8,67.5,133.2,109.1,61.7,119.3,99.2,104.9,106.7,91.7
105.5,97.1,92.7,91.7,120.2,95.8,98,99.4,111.9,87.7
94.6,110.3,115.7,130.5,101,92.2,86,95.7,90.1,84
95.5,103.2,128.4,225.2,79.6,93.8,84.8,76.1,61.7,51.7
97.2,104.4,103.2,123.6,114.8,102.3,80.6,106.7,81,86.2
105.6,77.6,71.7,92.9,104.1,93.9,71.1,180.6,99.8,102.6
99.3,53.6,53.6,50.2,151.8,176.5,106,132.7,89.9,86.4
77.5,123.1,152.3,128.5,109.9,105.8,104.9,71.8,66.9,59.3
99.5,85.3,193.2,115.1,85.3,81.3,99.1,88,65.7,87.6
115.2,82,141.3,68.3,73.9,65.8,101.8,91.5,134.2,125.9
89.7,96.8,132.7,120.3,87.3,84.9,93.7,95.9,105.6,93.1
92,155.9,104.1,136,109.4,85.5,87,78.8,78.6,72.7
106.3,80.6,129.7,61.4,63.3,62.4,182.4,76.8,118.3,118.9
99.6,92.8,93.5,83.5,122.6,87.8,103.6,110.3,105.2,101.2
106.8,84.1,115.5,79.7,102.9,90.3,119.4,83.7,113.9,103.8
114.2,64.9,84.2,63.7,84.6,67.7,84.5,120.9,153.1,162
111.4,79,147.4,80.7,70,73.1,128.9,86.5,112.4,110.6
101.5,106.7,132.4,89.7,97.5,96,104.4,86.5,94.9,90.5
90.2,182,105.3,138.1,114.1,132.2,122.3,39.4,47.7,28.7
105.2,74.3,87,81.7,109.6,109.7,94.4,148.6,103.9,85.7
92.1,141.7,104.2,103.8,172.9,92.2,86,67.9,66.1,73
116.3,71.2,92.1,49.9,54,64.3,93.4,112.1,160.9,185.7
85,109,78.4,98.8,69.4,92.7,129.7,90.9,137,109.2
98.7,112.3,83.2,95.6,112.7,102.5,91.1,86.3,112.9,104.7
102.9,77.4,102.9,72.1,133.6,117.1,122.6,96.4,88.7,86.5
93.5,84.5,93.1,89.8,126.7,124.8,90.2,117.5,93.1,86.8
84.6,91.7,82.3,139.6,96.1,160.8,86.9,108.4,82.3,67.3
98,98.5,134.3,165.5,95.1,110.7,90.5,89.5,55,62.7
93.3,117.6,122.4,154.6,94.2,132.3,91.2,76.8,63.3,54
88.1,246.7,155,210.2,60.3,51.4,47.4,46.3,50.3,44.5
92,155.8,118.1,143.2,79.4,100.1,92.4,79.4,75.4,64.1
86.9,211.5,149.6,228.3,47.7,80,61.4,49.2,45.5,39.8
89.3,175,153.2,269.8,57,63.9,55.4,48.7,46,41.6
84.3,188.3,113.4,171.9,67.3,133.9,94.7,53.3,47.3,45.7
85.1,229.9,140.9,213.9,47.6,105.8,76.5,40.4,30,29.9
92.3,99.6,70.4,92.5,171,106,65.4,127.3,90.8,84.6
101.9,70.9,76.9,102,92,119.8,70.9,143,113.8,108.8
107,133.2,173,42,43.8,69.2,128.7,116.6,97.4,89
90.8,91.7,59.1,107.8,111.8,127.9,103.6,104.1,103.4,99.8
101.5,86.3,81.4,78.5,141.1,118.6,78.7,83.9,118.3,111.6
104,51.6,52.5,44.9,162.9,91.4,95,126.7,120.4,150.6
84.1,173,80.8,166.3,63.5,195.2,142.4,36.1,32.2,26.4
96.6,72.1,49,52.5,185.5,86.9,113.6,93,128.9,121.9
100.7,65.7,90.8,62.5,146.5,78.6,92.4,114.8,115.9,132.1
95.5,80.7,73.3,46,157.8,84.6,110.6,107.7,127.5,116.3
95.9,64.6,67.8,62,173.5,118.4,102.2,109.5,108.5,97.7
113.3,72.6,119.6,60.1,60,64.6,112.5,103.2,143.9,150.2
87.3,111.5,88.1,101.5,155.3,98.4,105.5,83.3,79.1,90
110.1,84.1,164.6,66.4,75.9,71.6,108.6,75,125.9,117.8
109.2,91,106.3,94.5,64.9,83.9,109,109.4,129.2,102.5
126.1,44.3,47.7,34.6,39.4,40.5,75.1,120.6,191.7,280
89,151.1,55.7,111.3,204.9,113.7,51.4,99.2,80.3,43.2
92,132.4,64.6,88.2,130.7,150.7,91.7,96.3,85.1,68.3
116.3,95.3,165.6,62.5,84.6,67.4,110.8,100.4,99.6,97.4
108.8,70.7,75.4,61.8,81.8,74.5,84.8,156.1,131.8,154.3
55.9,168,92.7,146,135.7,99.5,117.2,55.9,79.4,49.6
94,180.5,92.7,136.7,101.2,91.4,84.8,66.9,77.2,74.5
