run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3
72934.17544,79261.96087,81686.12446,57885.30696,59696.47297,64832.26343,26449.85007,24683.99645,24948.94233,28960.59122,29598.076,25796.85425,17931.9168,17549.95805,18577.56924,11912.27305,11761.85953,12354.52435
61753.3909,66356.3288,62606.96817,44778.64946,40200.08617,43624.27918,23330.93694,22425.7699,22464.93499,63897.64521,61860.99915,61614.31549,30574.52778,32698.04184,34503.42633,25704.46781,23604.2076,24821.16543
71084.27007,77409.05153,76771.6517,72760.64732,69043.52873,74624.94967,26638.43516,26674.83876,23440.44884,14140.45577,14396.21121,12411.64912,4528.324177,4190.081658,3372.092452,5430.202727,6388.49033,5007.992677
37370.45903,38680.40886,38970.77028,23899.60019,23551.53617,23762.47469,15983.75804,17655.59121,15036.62633,14512.93948,15098.57366,15297.1975,7595.101836,7178.642552,7105.795736,5151.321622,4737.105862,4822.229253
99931.30344,107363.3585,101173.2041,90411.74505,90050.94188,87516.505,36861.43834,37341.13707,34919.50939,45925.46338,45856.40741,45358.71968,30371.2955,27825.68768,25664.08195,18814.48003,17546.83562,16407.2559
11021.02518,11885.59306,11481.89861,6280.182422,5493.153236,5980.0199,4927.363306,4788.716067,4467.738599,21145.93711,19033.36784,12676.62443,4336.257037,4679.909111,5006.622562,5672.253351,5122.066608,5569.041771
20280.82663,21082.72071,20079.89569,17522.72107,14836.07192,16636.14309,8806.355525,7872.644769,8092.947479,7487.509262,7677.117371,7956.927524,3623.920651,4263.085124,4980.509705,2474.994436,2467.603008,2529.472997
10317.56891,12248.55197,12011.66764,7503.593775,6506.044018,6971.054858,2915.168736,2699.744961,4086.6478,2039.962069,1880.062985,1965.449781,900.1586421,674.7967434,391.9168641,1063.127992,986.8973483,547.6169923
11631.84042,13100.04004,14079.85964,9281.429386,8070.750958,8383.791973,5130.709746,5304.191027,4937.840003,18406.12564,15044.97767,13991.33934,9634.123851,9493.02132,9482.851502,5313.477722,4684.442236,5172.866989
24668.00656,27654.01936,25840.03524,19923.60448,19638.18246,21911.09853,8444.050863,7129.677658,8072.541543,18808.12232,18946.39179,18189.78518,12234.28501,11154.5293,11232.25466,7541.423086,7864.341705,7890.521723
19165.97464,23724.10777,21661.54874,13338.53597,14115.68884,12453.34636,7620.634853,9459.153708,8073.522702,5413.159969,6387.986393,5987.846897,2816.200534,2695.09579,2615.834015,1848.952949,1879.051093,1987.338163
119144.9,121076.34,122719.313,88150.52617,88447.55204,89528.73715,42786.11825,41086.27412,42048.6263,37522.34638,36949.69874,28859.37037,11128.93344,10244.42778,9520.994446,13024.65243,12314.73795,11827.65306
5540.235156,6219.965271,5099.055566,4816.785474,5156.10107,5815.907424,2003.972401,1622.690656,1699.990928,8021.338144,7878.859282,7698.509078,5897.236246,5574.614135,5769.135746,3024.896474,2754.827724,3177.569634
588507.5229,665255.1999,630750.052,494319.7902,450547.6218,460466.2228,217339.4854,191094.421,171869.3707,313697.5118,307470.6245,262849.1783,130167.8528,121859.7217,109936.1115,116871.5586,109990.5612,108301.7784
