C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
15.23658752,9.590341568,18.8534832,9.155237198,6.122127056,9.405879021,7.361649036,9.211979866
0.469664246,0.316581368,0.609278619,0.247647688,0.374159187,0.372376502,0.2967695,0.488777965
25.77267456,25.86440086,13.71005154,25.56738663,19.91977119,21.03735161,24.12043571,25.10939026
2.858934879,3.386948586,2.989207506,3.189410925,2.549187183,2.771803141,2.693276167,2.731414318
1.447163224,1.621517181,1.975238204,3.116082907,6.124228954,6.555533886,2.482290983,3.701500893
4.472790718,6.996576786,9.607549667,2.532411337,3.331593275,4.874528408,4.796278477,4.952208519
3.298957825,3.32474494,4.202158451,1.598536491,1.524138212,2.536957502,2.083183527,3.057773829
0.630914688,1.105598211,1.215286851,1.362156153,1.159087777,1.620551467,1.788876653,0.770780206
17.78155327,14.49446106,61.31096268,25.00421143,21.06397247,22.16040802,27.07665062,27.5853157
3.21285224,4.457653999,7.174360275,5.034096718,5.757077217,5.251923561,4.650318623,1.173145056
3.329062223,0.891420364,0.105403639,3.097042561,5.106151104,4.771868229,1.162631512,0.077319548
0.709494412,0.804262221,1.089843035,1.061757684,0.565022409,0.542400002,0.698913991,0.848484814
2.505519152,1.067098618,0.152740672,1.700176358,0.925448418,2.694792271,1.166920304,1.736229062
1.646044016,2.264603138,0.830592394,1.470193863,1.156985641,1.214900255,1.335881233,1.333545685
0.336530298,0.14736113,0.594935477,0.523216665,0.435923487,0.342100143,0.655575573,0.632257164
4.544192314,6.614891529,11.11941624,7.753045559,10.25013924,10.88286972,7.595462322,7.666382313
4.116943359,3.305090427,8.549337387,8.741857529,10.68420601,8.671620369,4.080658436,4.002760887
0.229035124,0.167709514,0.140691623,0.197869912,0.12216226,0.040199697,0.178507179,0.046301585
3.18776536,2.230483294,1.468931079,2.379932642,1.093189478,1.139714479,1.31073606,1.843174696
3.676804304,4.020759106,4.994860172,3.176231861,2.889188528,1.760103106,2.473471165,2.983927965
14.63180256,5.513636112,20.05979919,8.80813694,8.535943985,3.476404667,9.612618446,5.350467205
0.410883844,0.295299768,0.098534033,0.331909418,0.38414377,0.576619744,0.540121734,0.414613426
0.358734101,0.371011078,0.119160272,0.095685475,0.312051564,0.322783858,0.253348082,0.169976622
8.269394875,12.79841042,19.77153778,12.6599474,10.50903797,10.85386658,10.71734905,14.56987953
0.128820479,0.10798014,0.063965179,0.140284181,1.863333702,0.740646601,0.059584223,0.272097141
0.892551184,1.094114661,1.58750689,0.851888716,1.565407753,1.801753402,0.738793612,1.260089159
0.425588608,0.520887733,0.107189864,0.289357156,0.321531683,0.263212115,0.45718044,0.386611432
0.287302226,0.547756612,0.321173579,0.324584335,0.191203028,0.217044711,0.290028363,0.454439223
0.48398304,0.138003454,0.646467924,0.128917739,0.044408068,0.427812517,0.760410964,0.583333313
0.760671556,0.226276249,0.513922572,0.264684707,0.332094282,0.383717895,0.245337605,0.565031111
0.086548887,0.172853738,0.206714615,0.160332516,0.182942122,0.156224743,0.121686496,0.203040928
51.36626434,4.549670219,113.5582047,44.24565887,20.04589462,12.69326115,15.17778015,10.49490261
1.427286863,1.266296148,0.468837559,0.812504768,0.498843908,0.853571951,0.691339254,1.383991718
0.459899664,0.798336327,0.554662645,0.729829133,0.627277195,0.593143046,0.763316333,0.754920661
5.73948288,6.284368515,2.213698387,3.44816494,2.196678638,3.131534576,3.690855265,3.962758541
0.395059824,0.356851548,0.262291878,0.342387557,0.165070534,0.213052392,0.115119636,0.36838004
2.986028433,2.713276148,4.012521267,1.63121593,1.153832674,1.473634601,1.86787498,3.291702271
0.056491941,0.068028346,0.714305699,0.651674211,0.515695035,0.391050726,0.325325131,0.48014015
1.151022792,0.845559239,0.927069724,1.037200212,0.998318434,0.490776956,0.563191772,0.598307848
0.500193,0.722220123,0.681414664,0.845605671,0.757251918,0.429833144,0.504427254,0.774107873
0.303716719,0.354363441,0.555877388,0.291943133,0.281638861,0.398155421,0.566477597,0.391602933
1.490775704,1.573337317,0.085216895,1.631752372,1.502242088,2.142680407,1.346292257,1.080005646
0.321177155,0.089174189,0.182153508,0.085568577,0.27905339,0.213619485,0.226068914,0.276947051
1.577074528,1.489970207,1.898336649,1.354187489,0.517621875,0.766034424,0.955831528,1.495114684
0.96873796,1.162170172,1.411278129,0.656922817,0.535909474,0.549960911,0.771582782,0.794498742
5.478966236,6.316389084,10.92973328,7.641176224,9.068105698,7.320753098,8.170656204,11.69781971
0.92280972,1.476646066,0.097625613,0.510344028,0.938936353,1.017761707,0.779641688,1.021382093
0.084448345,0.604733348,0.075787358,0.40563941,0.30481711,0.356667966,0.479870021,0.603016138
0.342543423,0.527365685,0.419234693,0.372067302,0.342944205,0.320828468,0.36247924,0.380982697
0.680200696,0.625234663,0.174453318,0.446670741,0.073848546,1.495437384,0.700193703,0.577846169
12.53222656,15.0428791,27.87142754,12.43008137,9.112948418,9.055207253,11.10646152,11.73746777
11.03087616,15.70502949,22.25238037,20.97004128,38.90134811,28.32290459,13.29344273,25.94413757
0.21095714,0.070274405,0.331355602,0.163493216,0.131456688,0.090607479,0.128590211,0.155759692
2.512041569,3.005447388,4.163427353,2.758984089,2.536925554,1.854223728,3.27808547,2.595617294
1.137321472,0.678273022,0.734488845,0.901693344,0.674117148,0.906433344,0.655125916,0.522868812
0.193670377,0.230015829,0.422200114,0.180081978,0.057923485,0.051717509,0.091112763,0.096241325
0.080328874,0.103429124,0.12629962,0.127728343,0.071696334,0.094071835,0.132153347,0.066539221
0.142153442,0.074926414,0.095419034,0.179710373,0.227133557,0.171203226,0.159895524,0.173205197
5.542647839,3.111965656,11.46327686,4.144126415,2.449866772,2.307130814,3.10241437,1.93319881
3.649440527,4.474953175,3.796673298,4.182437897,2.617642879,2.964183331,3.885583878,3.870362282
0.63411814,0.788398504,0.298313379,0.733545303,0.511000514,0.626776159,0.676293552,0.896205008
3.227633953,2.6229527,2.458652496,5.511072159,2.519968987,2.725231409,2.180132866,4.837864876
0.35382092,0.229500547,0.085868306,0.533943772,0.357798487,0.480152518,0.304323494,0.576465607
0.788923264,0.82001543,1.901046515,0.649873555,0.362002492,0.066419765,0.655333459,0.459890962
1.012466311,0.959291816,2.267146349,1.521645904,1.903307199,2.206720114,1.895130157,1.088254094
0.726283312,0.392506123,0.147253633,0.541184604,0.049719736,0.258509338,0.211469293,0.649886727
0.874025464,1.117302775,1.282750845,0.808903575,1.019723892,0.762090981,0.643020213,1.155161381
1.546854496,1.184659004,0.096814103,1.68285954,1.052340269,1.098716021,0.682277262,1.3448385
0.068423748,0.346070886,0.127444237,0.265064001,0.06305857,0.191379905,0.388316274,0.265024066
0.19995755,0.442784041,0.244698852,0.459351778,0.626576483,0.542954028,0.085434116,0.467714518
19.69934273,21.0442028,26.01710129,12.81012821,14.2933712,14.85660458,23.97377968,26.57427406
1.195986152,1.168096066,1.340730667,1.020458221,1.082889557,2.027962446,1.742736578,1.29973805
3.928985119,9.385697365,9.269294739,15.03103352,24.49446106,12.99635029,15.01175976,17.68054199
0.669548452,0.060193624,0.794290781,0.580415308,0.608849466,0.45711118,0.579966784,0.65877229
0.8979159,0.86050272,1.143898368,0.528273702,0.328226596,0.455481708,0.621748745,0.563579679
1.092859864,1.165850759,1.126331449,1.128342628,0.418091357,0.415004581,1.046658874,0.732759774
5.87996912,2.243844032,2.721920967,1.636579633,4.314391613,1.165395737,3.521375656,3.017204762
9.045156479,13.60484314,20.76854897,13.08022404,13.91991234,14.3612299,11.01999092,11.36292839
0.66016978,0.543450236,0.555129886,0.440502644,0.411154717,0.347249389,0.363551497,0.599334419
2.262562752,2.863667965,12.90740108,2.95448637,2.921699762,2.761862993,3.50823164,2.90972805
5.169432163,3.608192921,8.683423996,5.449390888,3.779778481,2.781091213,4.534795284,3.689110756
