Bcells_H9_cyt,Bcells_H10_cyt,Bcells_H11_cyt,Bcells_H3_cyt,Bcells_H1_cyt,Bcells_H2_cyt,CLL1_cyt,CLL10_cyt,CLL11_cyt,CLL14_cyt,CLL15_cyt,CLL16_cyt,CLL2_cyt,CLL4_cyt,CLL8_cyt
24.4855,25.0718,24.2176,26.037,25.3435,26.0658,24.8243,24.3397,25.7472,25.2585,24.3786,25.5785,25.0242,23.9758,25.4312
18.5476,18.7128,17.0265,18.839,18.3449,18.5543,17.3249,17.8348,20.0478,17.9728,17.5699,19.9772,19.4344,16.6739,18.1209
20.9718,18.3454,20.206,21.5806,21.9023,21.6083,22.5225,21.29,21.706,20.1287,22.1898,21.3742,21.0805,20.706,20.7321
20.5473,20.4225,19.846,17.3324,16.986,20.1889,19.7517,21.0719,17.3345,20.8723,21.2163,20.8693,16.5927,17.6219,18.3767
18.6764,17.9117,18.8751,18.6668,18.591,18.7787,19.3733,19.37,18.2198,17.5666,17.2599,18.3968,17.9667,19.7476,19.6793
19.4338,18.7057,18.4578,17.6168,19.6896,17.4343,16.0585,17.3607,19.5464,17.5069,19.8617,21.3403,20.4188,19.0918,20.3973
25.3161,23.6862,23.9286,24.2335,24.5052,24.3725,23.9101,23.9412,24.602,23.9374,23.039,24.9202,23.1202,23.3793,23.3546
23.5796,22.9018,23.2759,22.9478,23.264,23.3336,24.4458,24.1328,23.1649,23.281,23.9971,23.706,23.5002,23.7194,23.4903
23.7401,23.2486,24.0025,22.949,23.3622,22.4638,21.1601,23.2629,22.1963,23.2873,23.2346,24.1598,23.0028,22.4374,23.0106
24.2838,23.5847,23.1476,18.8807,18.79,18.4908,24.1356,22.0483,23.6071,23.253,22.6336,17.1823,21.5028,22.6913,24.3605
17.9977,20.2836,18.2929,16.7914,17.5469,17.6068,16.2435,15.632,27.2407,19.7798,17.1933,15.9704,17.8863,28.4771,17.7723
18.0014,19.4393,19.4652,24.9566,24.0506,25.096,25.2312,23.7544,22.6114,23.0392,24.0745,24.1617,22.8376,24.1856,23.5367
21.1779,21.5701,18.892,22.196,23.159,20.4363,24.1022,22.8667,23.2799,21.33,23.0147,23.142,23.9903,22.9787,23.899
25.4664,25.969,25.5566,26.3185,25.7091,26.0492,26.3167,24.3679,25.5568,25.4689,24.8955,25.8324,25.627,26.1007,25.376
22.4357,17.9308,17.8229,20.6929,18.8324,17.4792,20.3944,19.674,22.0115,16.3209,20.5672,17.4063,21.9839,19.5022,20.457
19.9153,19.9648,20.0755,19.3009,18.5349,17.1282,19.9676,16.1536,17.552,18.6346,16.374,19.9904,19.2171,17.5286,17.8324
22.6532,16.7786,22.447,22.1366,16.7075,18.3109,23.9421,19.3022,17.6799,21.5225,19.6088,17.5381,20.8523,18.0222,23.5234
26.6472,26.3083,24.3343,25.8889,26.6653,26.6155,21.1503,25.6954,26.3155,25.2449,26.5298,26.5333,26.614,24.6391,21.9205
26.1134,23.1403,26.0487,25.1743,24.6575,25.5163,26.259,26.0151,25.4178,25.139,27.1218,26.1974,25.2664,25.2642,25.1815
21.4977,20.0216,21.893,20.596,22.2433,21.8056,22.5845,21.1191,18.0376,21.3175,20.3635,20.2395,15.9387,18.5284,22.284
21.717,21.0169,21.2646,16.7643,16.6799,18.76,24.3549,20.8586,17.5691,21.4148,21.3258,21.6175,18.0271,21.1432,22.124
23.255,24.1387,21.222,20.7742,21.7495,21.7899,22.9693,22.0393,21.6432,23.3243,22.1828,24.0839,24.057,21.1587,22.6492
19.028,22.6284,21.4582,21.8602,20.2213,19.7506,20.3297,19.3277,18.7068,17.2344,19.0733,19.8918,22.5986,21.2154,18.4392
23.2295,22.9572,22.1243,22.3054,22.1249,22.3855,20.9166,22.0365,23.0835,22.7153,23.6816,22.6724,21.8361,22.9764,22.5497
24.208,24.6119,24.3246,23.3574,22.0233,20.6441,23.3893,23.224,23.4337,23.6009,23.8059,24.2163,24.3266,24.0704,23.7832
18.7193,19.8193,22.4505,17.3028,20.3714,17.5057,21.3716,20.6656,22.282,21.9193,21.4304,20.8932,22.0515,22.3229,20.9735
20.4071,23.0878,22.8159,21.814,21.7642,21.6128,19.8411,22.2702,22.6617,20.2191,21.3091,21.3481,22.8753,21.8259,20.3185
26.6447,26.743,27.1081,25.5655,25.1271,25.6471,22.751,23.1617,22.9572,24.6076,22.884,25.0284,22.6543,23.8043,22.0862
19.5225,18.2385,18.8314,18.0741,17.2276,22.7848,17.3557,16.3299,19.8552,16.4941,21.1252,17.9065,18.5337,16.4839,19.3726
25.127,23.6807,23.6146,22.4301,24.7947,24.1991,21.2899,22.7514,26.1461,20.4999,25.4935,23.463,26.9987,25.6721,26.5487
18.6291,18.8027,18.9379,17.1039,23.3059,22.2083,20.0083,20.871,21.4185,19.8644,20.8439,20.0551,19.5886,19.5891,20.7792
16.5921,19.4505,20.7292,21.316,20.0428,20.8929,21.4689,18.8145,19.9679,17.5358,16.5487,20.3405,20.068,22.2594,21.5202
22.8534,26.5257,25.4761,24.2639,24.8449,24.9926,20.9184,23.381,23.8909,24.0985,22.8464,25.2253,23.0359,23.4772,23.8601
18.2667,25.2222,22.4529,18.7051,20.4087,18.8027,17.2862,17.3901,16.3762,17.4707,17.5991,17.4239,17.5597,18.94,16.5496
17.5903,21.4333,21.1432,21.1378,21.3012,21.3742,22.2006,19.9411,20.6565,17.803,23.8178,20.8413,16.9117,22.8592,20.6344
21.1756,21.7303,17.9876,16.4376,18.012,16.6588,20.8465,21.0472,16.5504,21.0457,21.573,19.7787,21.4738,15.6918,17.8347
23.2948,23.3427,23.0813,23.2123,23.7508,23.7401,21.0508,22.0971,23.7894,22.4225,22.9252,23.6741,24.6258,22.725,23.6356
25.0527,23.3222,25.3345,26.0254,25.4542,25.5968,28.0015,27.2041,26.6826,26.9844,27.5292,26.4116,26.2449,26.7066,26.2988
25.7783,25.7617,24.8392,24.9925,26.0511,25.9427,24.3388,26.3178,25.7729,25.7117,26.4246,25.8578,26.4426,23.3173,26.2423
