Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
8249200000,4892400000,3356800000,5247600000,3226500000,2021100000,3001600000,1665900000,1335800000
287390000,181780000,105620000,287390000,181780000,105620000,NA,NA,NA
344010000,208290000,135720000,203170000,130620000,72551000,140840000,77669000,63173000
37858000,20570000,17288000,37858000,20570000,17288000,NA,NA,NA
412310000,254030000,158270000,290290000,176050000,114240000,122010000,77978000,44036000
NA,NA,NA,NA,NA,NA,NA,NA,NA
294820000,188280000,106540000,183170000,112470000,70703000,111650000,75812000,35836000
18589000000,12078000000,6511100000,11064000000,7070400000,3993400000,7525300000,5007600000,2517700000
472680000,337190000,135490000,205700000,139350000,66350000,266980000,197840000,69144000
3627400000,2425800000,1201600000,2511500000,1830800000,680700000,1115900000,594980000,520940000
37393000000,22117000000,15276000000,18136000000,10664000000,7472100000,19257000000,11453000000,7804100000
69769000,31981000,37788000,69769000,31981000,37788000,NA,NA,NA
659700000,404410000,255290000,566510000,340100000,226420000,93187000,64310000,28877000
737440000,472370000,265070000,235960000,131930000,104030000,501480000,340430000,161040000
83845000,66014000,17831000,58342000,58342000,NA,25503000,7672100,17831000
594720000,454960000,139760000,201130000,128420000,72703000,393590000,326530000,67059000
2255500000,1566500000,689020000,644740000,392420000,252310000,1610700000,1174000000,436710000
3758100000,2368900000,1389200000,2181300000,1552900000,628420000,1576800000,816020000,760750000
363700000,220290000,143410000,265850000,152200000,113650000,97844000,68085000,29759000
8352500000,5169700000,3182800000,4123100000,2683100000,1440000000,4229300000,2486600000,1742800000
8258800000,5349200000,2909700000,3447800000,1966300000,1481500000,4811000000,3382800000,1428200000
1188500000,638750000,549750000,755300000,358680000,396620000,433210000,280070000,153130000
58548000,37424000,21124000,58548000,37424000,21124000,NA,NA,NA
288990000,156600000,132400000,288990000,156600000,132400000,NA,NA,NA
117770000,77652000,40116000,117770000,77652000,40116000,NA,NA,NA
140540000,74121000,66416000,NA,NA,NA,140540000,74121000,66416000
1675300000,1055100000,620170000,60835000,25891000,34944000,1614400000,1029200000,585220000
782050000,494360000,287690000,333540000,222420000,111120000,448510000,271940000,176570000
137720000,64269000,73449000,137720000,64269000,73449000,NA,NA,NA
3208900000,1990200000,1218700000,1278000000,876270000,401780000,1930800000,1113900000,816910000
NA,NA,NA,NA,NA,NA,NA,NA,NA
44510000,26939000,17572000,NA,NA,NA,44510000,26939000,17572000
202920000,108210000,94716000,137480000,42762000,94716000,65447000,65447000,NA
122930000,113410000,9515700,NA,NA,NA,122930000,113410000,9515700
758680000,464320000,294360000,311380000,172450000,138930000,447300000,291870000,155420000
12221000000,6191000000,6030400000,7409600000,3845100000,3564500000,4811800000,2345900000,2465900000
2401400000,1185900000,1215600000,1690800000,822690000,868160000,710580000,363180000,347400000
129640000,43016000,86625000,129640000,43016000,86625000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1461800000,728160000,733640000,840180000,292950000,547240000,621620000,435220000,186400000
1963500000,1299000000,664500000,1074900000,625790000,449090000,888660000,673250000,215400000
270350000,148360000,121990000,270350000,148360000,121990000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
100570000,55597000,44977000,62276000,35917000,26360000,38298000,19680000,18618000
3286900000,1925900000,1361100000,1829000000,982920000,846070000,1457900000,942940000,515000000
8180500000,4058100000,4122400000,5087200000,2142600000,2944500000,3093300000,1915400000,1177900000
NA,NA,NA,NA,NA,NA,NA,NA,NA
37687000,19267000,18420000,37687000,19267000,18420000,NA,NA,NA
179980000,87745000,92237000,53004000,39951000,13054000,126980000,47795000,79184000
49069000,30303000,18766000,49069000,30303000,18766000,NA,NA,NA
