Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
1.245083,1.068317,-0.7765808,0.1853008,1.768873,0.4312363,0.0096035,2.072783,1.667145,-0.3385868,0.5769272
-0.9983902,-1.06962,-3.041773,0.1853008,-0.9161301,-1.214474,-3.339594,-1.219797,-2.722799,-2.229223,-3.19523
2.975399,3.0476,1.645208,0.1853008,3.015158,2.034725,1.673399,2.754934,2.714119,1.244413,2.280447
0.09303474,0.05594635,-0.5125313,0.1853008,0.006343842,-0.4712963,-1.467682,0.1897144,0.1382046,-1.422888,-0.4454155
2.877577,3.614294,1.816521,0.1853008,3.574915,2.614052,2.002625,3.258553,3.236038,1.789253,2.307758
-0.1229324,0.8660946,-1.549238,0.1853008,0.6410561,-0.5350418,-1.734631,0.2229614,0.4116459,-1.310253,-0.7913933
1.56381,1.708715,0.3253365,0.1853008,2.379883,1.113338,0.3874722,2.058729,1.358229,0.6036186,0.6668777
1.914387,2.815849,1.778088,0.1853008,3.117115,1.975695,1.237072,2.42095,2.947706,1.955742,2.223383
-1.129757,-0.8045712,-2.118578,0.1853008,-0.6377754,-2.236065,-3.672884,-0.7324009,-1.210764,-2.78935,-2.55345
-0.4692154,0.2798119,-2.719582,0.1853008,0.4714413,-1.474127,-2.281787,0.4391804,-0.01699066,-1.481709,-1.176111
-2.065618,-2.288509,-4.240132,0.1853008,-2.105625,-2.709532,-3.342598,-1.393101,-2.179077,-2.719223,-2.428947
1.879284,2.479544,1.726919,0.1853008,2.414022,1.693211,1.542679,2.402855,2.427357,1.380501,2.210609
-0.2490826,-0.02051544,-2.629215,0.1853008,-0.2004681,-2.953063,-3.110932,-0.4125729,-0.6417522,-3.066103,-1.103765
4.175098,4.643755,3.587799,0.1853008,4.399786,3.597576,3.268648,4.246784,4.001114,4.237608,3.680061
1.085512,1.083103,0.4526768,0.1853008,1.05867,0.484684,-0.07983589,0.9505539,0.8886795,0.2076969,0.6353073
0.4749184,0.5708313,0.0652256,0.1853008,0.3536797,0.7866039,0.2070217,0.5894623,0.6938858,0.4404774,0.1272049
2.469687,2.875401,1.259905,0.1853008,2.482548,2.076393,1.37788,2.687366,2.432529,1.28602,2.058512
-1.787085,-2.050139,-3.436888,0.1853008,-1.463348,-3.261598,-3.400534,-2.370056,-1.763987,-3.376097,-2.053106
