WTheart_1,WTheart_2,WTheart_3,WTheart_Flu_1,WTheart_Flu_2,WTheart_Flu_3,WTheart_Flu_4,WTheart_Flu_5,WTheart_Flu_6,WTheart_Flu_7,WTheart_Flu_8,WTheart_Spn_1,WTheart_Spn_2,WTheart_Spn_3,WTheart_Spn_4,WTheart_Spn+Flu_1,WTheart_Spn+Flu_2,WTheart_Spn+Flu_3,WTheart_Spn+Flu_4,WTheart_Spn+Flu_5,WTheart_Spn+Flu_6
24.189,25.5589,25.1633,25.9805,25.9355,25.7237,25.6949,25.7981,25.6882,25.6718,25.8753,26.093,26.3311,26.0495,26.6804,26.6555,26.6996,26.082,26.7617,26.0129,25.8594
31.228,31.2318,31.1115,30.8287,30.7379,30.679,30.667,30.6976,30.8766,30.815,30.6152,30.8763,31.0269,30.3842,30.3147,30.7937,30.7686,30.602,30.769,30.9252,30.7317
20.2504,22.0563,23.1835,27.7666,28.0227,28.1209,28.1541,27.8948,28.1141,28.0377,27.9813,27.7701,27.3228,27.2252,26.5107,27.848,27.792,26.9457,26.1139,27.0793,27.5823
32.5148,32.1536,32.2424,31.3633,31.3983,31.4373,31.2884,31.4093,31.5005,31.5476,31.3381,31.2697,31.2913,31.519,31.0715,31.226,30.8772,31.0652,31.0237,31.2156,31.1293
30.3352,30.1174,30.2391,29.2325,29.1372,29.1057,28.9148,29.0371,29.2004,29.0946,29.0915,29.2171,29.5219,29.1305,29.0554,29.1149,29.2051,28.9446,29.0606,28.8518,28.6298
23.5322,23.7983,22.5286,26.1271,26.018,25.8196,26.1504,26.129,26.4185,26.4169,26.1566,25.9013,25.6508,26.2049,26.5317,25.8322,25.6697,26.1492,25.2378,26.2932,25.9157
26.6783,26.8162,27.6773,29.7444,29.7791,29.6599,29.6404,29.5966,29.5877,29.5969,29.6417,29.4727,29.6801,29.581,29.4728,29.1532,29.1149,28.9815,29.3846,29.5166,29.4572
28.222,27.7297,28.2247,28.9557,28.9286,28.9403,28.8714,29.3308,29.2757,29.1975,29.1973,29.4621,29.0278,29.5772,30.2289,29.3063,28.956,29.8221,29.462,29.343,29.3709
26.5832,26.2274,27.7565,28.4967,28.4174,28.5132,28.3877,28.2932,28.5756,28.3412,28.3639,28.036,27.7726,28.8832,29.4677,28.9839,28.8196,29.1726,29.5335,29.0335,29.1573
22.0763,22.0565,21.6445,29.0423,28.7237,28.8889,28.5038,28.5582,28.2918,28.1913,28.4924,27.9263,27.9189,28.6528,28.2599,27.8574,27.9079,28.1802,29.0552,28.4455,28.2052
30.7114,30.786,31.2062,30.2418,30.2738,30.1371,30.2483,29.9791,30.0028,29.9714,29.9372,30.4291,30.8403,30.1481,29.964,29.9751,30.0816,30.0249,30.0861,29.9335,29.8678
22.3752,21.8064,22.617,25.5664,25.8618,25.8613,25.6331,25.8,25.6067,25.8036,25.6314,25.3498,25.2365,25.5658,25.2244,25.6858,25.6676,25.5266,26.4311,24.48,25.3173
28.0693,28.7549,29.3036,29.5698,29.4798,29.407,29.5918,29.5339,29.6343,29.5506,29.4697,29.8241,29.9262,29.7108,29.6395,29.1517,29.1745,29.4975,29.3083,29.1191,29.2207
22.6364,21.9004,22.5646,18.7526,19.1292,22.3113,19.2275,19.3348,20.157,19.8156,19.8705,23.0074,21.2514,22.6953,21.1115,23.8819,23.0016,22.185,22.1891,21.125,21.1542
27.4984,27.4344,27.5554,26.414,26.8559,26.5975,26.5588,26.4619,26.449,26.3488,26.5454,26.7071,26.8345,26.8724,26.0365,27.4178,27.2016,26.5649,26.3983,26.5518,26.5112
25.3503,24.7416,24.6005,24.6515,24.4113,24.96,24.5293,24.0915,24.1401,24.1907,24.3577,21.3839,23.6293,24.7827,21.0237,19.7946,19.9315,21.4424,23.2001,21.436,19.9591
24.7554,25.2786,25.1134,30.8264,30.7403,30.8825,30.8128,30.685,30.6697,30.6076,30.6824,30.6174,30.2456,30.7752,31.1005,30.2042,30.0291,30.9064,31.2162,31.0747,30.953
27.2007,26.8544,27.8755,26.4452,26.1758,26.3186,26.1995,26.2349,25.7676,25.677,25.9449,26.3245,26.9469,26.2657,26.1716,27.5833,27.5841,26.3612,27.3644,25.6631,26.8043
23.3301,22.8623,23.7064,25.4851,25.6531,25.3935,25.2857,25.9119,25.9477,26.0922,25.9569,25.7649,25.8974,25.7504,21.3958,25.6695,25.7868,26.2429,26.3071,25.7307,25.631
25.3673,25.408,26.2968,25.5278,25.4021,25.1743,25.1161,25.4665,25.4071,25.516,25.4999,25.4045,25.6687,25.3401,25.8294,26.7452,26.3011,26.4455,26.9022,26.771,26.8519
21.3195,22.397,26.3275,27.4821,27.5571,27.8736,27.6905,27.6697,27.7249,27.6724,27.4384,27.18,27.1256,26.9485,26.4143,26.8417,26.9673,25.8166,25.9619,25.7599,26.6684
20.8005,22.3467,21.2103,20.127,20.0475,19.8917,20.0816,19.2374,19.4216,20.1044,20.7139,23.5782,23.4443,22.1349,21.5867,21.672,19.5853,21.6368,22.3975,20.955,23.0028
28.4151,28.6504,29.2532,29.9445,29.8949,29.9525,29.7267,29.8982,29.9665,29.8664,29.969,30.0828,30.2937,29.922,30.1886,29.7563,29.8237,29.9822,30.2654,29.7885,29.9668
27.6427,28.6034,28.507,27.7954,27.5251,27.2983,27.4249,27.5382,27.5782,27.5418,27.5499,27.5712,27.6479,27.8915,27.6655,27.6594,27.6886,27.2386,27.5437,27.6057,27.4915
21.0929,22.5293,19.8158,24.0049,24.0594,24.0459,23.8619,23.5669,23.6158,23.3453,23.7834,23.4473,23.2359,22.8461,23.4701,25.1127,25.1792,23.3268,23.4158,23.7678,24.0083
28.969,28.8011,28.7254,28.6985,28.5941,28.7761,28.6045,28.7401,28.6207,28.6824,28.7055,28.8762,29.0459,28.6641,28.788,28.5612,28.5173,28.3467,28.5746,28.6541,28.5346
24.9527,25.3126,25.7904,29.7011,29.7125,29.7638,29.7994,29.7883,29.8387,29.8216,29.671,29.5921,29.2632,29.7572,29.9629,29.0777,29.0854,29.2427,29.4998,29.6606,29.5193
29.7044,29.6046,29.3206,28.8108,28.8018,29.0076,28.9737,29.1036,28.9813,28.9342,28.9975,29.1871,29.3848,28.9923,28.8815,29.2178,29.2368,28.8652,28.803,28.7568,28.6325
23.2074,21.376,19.7766,25.6736,25.4026,25.2937,25.7997,24.9017,24.5043,24.9876,25.1637,25.5687,24.6914,25.2781,25.6663,26.5384,26.231,25.6914,26.0461,25.2052,25.887
29.078,29.2489,28.9878,28.2674,27.9688,27.5387,28.0226,27.9886,28.0942,28.001,27.8179,28.363,28.548,28.0047,28.2008,27.9969,27.9509,28.5379,28.4342,28.1592,28.1326
30.8075,30.8533,30.7879,29.9817,30.0214,29.9803,30.0278,30.1437,30.2742,30.2743,30.1062,30.0483,30.2342,30.2744,30.1618,29.5811,29.7513,29.7361,29.9448,30.0823,29.7504
21.7938,20.6301,21.3869,25.8012,25.9325,26.0437,25.744,25.241,25.3409,25.6615,25.6239,25.2027,25.0841,21.7088,25.2455,24.9027,24.7323,23.3281,25.6465,25.0956,25.3235
23.3452,24.9854,26.2671,26.6169,26.3676,26.5729,26.54,26.6583,26.7303,26.7415,26.7766,26.9331,27.3467,26.8328,26.3551,27.6818,27.6506,27.0703,25.6483,26.2334,26.6867
20.8581,22.6574,20.8597,27.0941,26.8673,26.9809,27.2445,26.8676,27.3295,27.4462,27.1182,27.0612,26.1616,26.746,25.1148,27.0319,27.4319,27.9858,28.1429,27.6278,27.0531
27.6703,27.6265,28.2355,30.5002,30.4611,30.4436,30.6251,30.2634,30.3881,30.3365,30.3642,30.6691,30.776,30.5925,30.9566,30.1171,29.9683,30.6877,30.5489,30.5209,30.4792
31.3889,31.3186,31.3709,32.639,32.4837,32.4561,32.6482,32.5849,32.4863,32.5466,32.4509,32.5804,32.2907,32.9614,32.9216,31.9361,32.0288,32.5014,32.5453,32.8298,32.6668
20.7363,21.213,22.7821,25.9684,26.5363,26.5011,26.1562,26.3693,26.3009,26.0938,26.5515,26.5094,26.5432,24.9117,24.2705,26.1772,26.0015,24.9137,25.1104,25.6083,24.9861
21.4319,22.5474,20.9081,26.3085,26.3978,26.2483,25.9016,26.0223,26.0954,26.3113,25.9139,26.25,26.0417,26.0756,26.4556,26.7724,26.8731,26.9271,26.5568,25.3363,22.1046
21.7308,22.0783,20.4245,24.9501,24.9406,24.9037,24.2993,25.6235,25.7795,25.4168,25.7483,25.2043,24.8735,23.8406,21.7698,23.9895,24.8325,23.2513,24.4484,23.992,23.8685
24.5265,23.8277,24.4066,18.735,18.4899,21.3389,20.3586,19.0885,23.1913,18.6979,19.3456,19.5641,23.3221,22.1252,20.5419,24.2434,24.3054,20.8024,21.6575,20.8638,23.8269
27.8254,29.9031,29.7984,30.7622,30.7591,30.7111,30.7334,30.6207,30.7169,30.6717,30.551,30.5564,30.5989,30.5195,30.5466,30.2634,30.1938,30.2281,30.4187,30.4863,30.4963
26.721,27.0876,27.9888,31.1663,31.125,30.8924,31.0768,31.2304,31.1121,31.0829,31.1785,31.3216,31.3659,31.1787,31.1401,30.8456,30.9002,30.9898,31.0479,31.058,31.171
30.4265,30.2543,30.6128,32.9427,33.0987,33.1307,33.1684,32.92,32.9067,32.9352,32.8332,32.679,32.6882,32.7177,32.6931,32.1834,32.1207,32.103,32.5534,32.9115,32.7612
27.2156,27.4593,26.892,28.3955,28.3177,28.3592,28.4209,28.4331,28.5431,28.595,28.5023,28.1228,27.9777,28.0865,28.3871,27.6341,27.4505,27.3956,27.2452,27.8979,28.0001
22.1234,21.6,22.4073,24.8975,24.6481,24.5226,24.9464,25.0153,25.6311,25.639,25.0038,25.0119,24.6133,24.5684,25.1184,26.4447,26.7848,25.4884,24.3175,24.5354,24.8184
31.0345,31.1542,30.949,29.6647,29.6879,29.7321,29.7349,29.6452,29.523,29.554,29.5556,29.781,30.0741,29.5484,29.4197,29.4679,29.8089,29.0549,29.2796,29.3984,29.4062
20.8352,23.1768,26.4851,28.3669,28.3106,28.5248,28.3093,28.353,28.3643,28.3154,28.2128,28.2366,28.3558,28.5114,28.1495,28.0242,28.2455,28.1534,28.3105,28.215,28.3051
21.5913,22.4086,22.3217,18.9518,19.4258,20.0951,19.7082,20.001,19.1647,19.8215,19.8991,20.4974,20.9483,21.4102,21.2811,22.4611,22.0833,20.8266,21.7724,22.2033,21.498
28.0359,27.7514,27.5612,28.5873,29.0116,29.1868,28.8316,28.9252,29.1581,29.3812,29.1408,28.9079,28.4975,28.6138,28.7151,27.8951,27.8784,27.5565,27.5509,28.2025,28.0315
