LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
0.32270421,0.30836814,-0.26379773,-0.14944069,-0.14426573,-0.18816535,0.0038093,0.30794622,-0.30230875,-0.05494707,-0.19087176,-0.11154437
-0.01400125,0.1374596,0.01127853,-0.13990381,-0.14131425,0.02645311,0.01195763,0.28520445,0.02415488,-0.19801439,-0.25007155,-0.05056593
0.13630817,0.78361738,-0.16200431,-0.15769033,-0.60179836,-0.53294389,0.01098941,0.60556856,-0.10861588,-0.12891787,-0.6578392,-0.45891961
-0.08818539,0.56144629,0.06179239,-0.26230211,-0.60528018,-0.50734773,0.07198438,0.58253504,0.16533549,0.04992427,-0.96417387,-0.39202492
0.10863229,-0.39318471,-0.26978403,-0.02415217,0.26566345,0.15778717,-0.10091912,-0.33560366,-0.12436142,0.14186405,0.2702717,0.14952976
-0.12482323,-0.21905089,-0.13855647,0.05628768,0.06514286,0.06145847,-0.04857278,-0.20838429,-0.05032188,0.08702241,-0.00245651,0.32319588
0.32383162,0.11414734,-0.69420051,-0.20716218,0.02911163,-0.0069612,0.18505047,0.02216922,-0.45155001,-0.06800005,-0.08431104,0.0991763
0.16606154,-0.35533879,-0.33368627,0.03466563,0.23775826,0.03321665,-0.119379,-0.35918952,-0.20762687,0.17493564,0.33780595,0.03660901
-0.75975798,0.59705341,0.91458897,-0.79650564,-1.77760862,-1.94020665,-1.15950176,0.90833553,1.21574991,0.27679834,-1.89160107,-1.48494895
0.04811095,-0.17531458,-0.19012187,0.03484176,0.11022523,0.10644461,0.08660612,-0.25520015,-0.25473972,0.05973274,-0.02611402,0.24012033
0.00949,-0.41656353,-0.15976119,0.13987674,0.09949248,-0.0545328,0.06374459,-0.18075734,-0.07654625,0.14686961,0.19242461,0.09770931
-0.00249533,-0.0640506,-0.14862055,-0.08646897,0.1618926,0.13467241,-0.0669381,-0.22012492,-0.0789283,-0.04466103,0.09352943,0.17418725
0.45332064,-0.25693907,-0.3087628,0.0944182,0.13746613,-0.11159573,0.15440621,-0.23459417,-0.39987804,0.04311728,0.07270651,0.10210499
-0.12612412,0.43127581,0.39441388,-0.13867018,-0.47289334,-0.68350364,-0.28385882,0.37568536,0.45560813,0.10329769,-0.77165367,-0.35451807
-0.0742,0.48138828,0.6606788,-0.47052229,-0.98436211,-1.22076068,-0.3999404,0.73318398,0.61097342,-0.33574211,-0.42156859,-0.73292301
-0.22959986,0.33526887,0.09165367,-0.29515474,-0.47547003,-0.63812814,-0.17475359,0.6210985,0.55287229,0.14772691,-0.53757807,-0.33581343
0.07787961,0.19542038,0.04311844,-0.12797896,0.13211822,0.15735735,-0.08074927,-0.06175648,-0.18390252,-0.29666757,-0.02520667,-0.08597639
-0.10662733,-0.16961317,-0.03370149,0.08199367,-0.02705289,0.02229113,-0.01585592,-0.17501553,0.02057254,0.15515645,0.01033153,0.13950901
-0.01327466,-0.23267,0.07003734,-0.03795512,0.16161491,0.0174952,-0.10405282,-0.35513291,-0.08018585,0.15207373,0.2875099,0.0858863
-0.29079049,-0.08198173,0.26437105,0.12354835,0.14207457,-0.11521524,-0.18248457,-0.16099542,0.25230548,-0.02287349,0.02888902,-0.08159028
0.22573799,0.07513517,-0.2148482,-0.01769053,-0.04301351,0.06809576,0.12468981,0.00090089,-0.20079651,-0.13890064,0.07015817,-0.03910036
0.23757373,-0.32029646,-0.20065069,0.09146489,0.34306194,-0.06243905,-0.02320774,-0.47583418,-0.26938808,0.09387909,0.2752232,0.14479684
-0.29561469,0.13663514,0.2892972,-0.14058721,-0.22851124,-0.13333755,-0.29300085,0.23004996,0.58038703,-0.16221991,-0.29316845,-0.25352408
