msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
792960.19,33823.51883,792960.19,33823.51883,2182529.66,702092.0502,2182529.66,702092.0502
3138740.2,152209.4689,3138740.2,152209.4689,13884998.5,2295336.788,13884998.5,2295336.788
128230.76,4784.528638,128230.76,4784.528638,NA,NA,NA,NA
1133181.756,29163.95618,1133181.756,29163.95618,20210315,1503579.952,20272580.73,1508162.291
33214411.87,752612.5954,47489336.97,1099453.928,201957905.2,9700886.525,406144841.6,30978191.49
8872542.72,148290.648,13009222.55,237401.7818,39479135.3,2472627.737,75789966.2,5095784.672
1618963.1,84809.61957,1618963.1,84809.61957,13089590.5,2510869.565,13089590.5,2510869.565
1372177.25,117726.1593,1372177.25,117726.1593,9942902,3103389.831,9942902,3103389.831
10719998.99,336320.7109,10719998.99,336320.7109,49756410.9,7994326.648,49756410.9,7994326.648
32657981.8,1403608.674,56753084.64,3359765.258,181478332,22931578.95,273534856.4,50154368.42
52311.77,2253.428235,52311.77,2253.428235,NA,NA,NA,NA
43972526.94,932218.3869,97485652.91,2197341.734,253403214.2,14930443.16,676484750.3,49041907.51
1020647.84,99275.29722,1020647.84,99275.29722,296367851.8,114306482.4,371161375.1,138900000.9
1358893.45,274109.9829,1500835.189,291333.9303,10909804,3045736.434,10909804,3045736.434
616026.867,19922.00917,616026.867,19922.00917,1921878.7,557222.2222,1921878.7,557222.2222
247820,10690.9855,247820,10690.9855,1735727.85,169666.6667,1735727.85,169666.6667
22649499.38,896290.2721,23701352.28,937851.0956,111353554,16496323.53,124626717.2,18386029.41
7034051.45,102715.0368,9729919.636,148505.1896,38116581,1482051.282,70522066.4,3598632.479
133341.92,815.9013715,133341.92,815.9013715,NA,NA,NA,NA
12861121.8,427931.2733,17986674.21,586363.7093,99766521,10176666.67,154644086.5,18295466.67
850086.41,65513.49738,850086.41,65513.49738,728273.23,470157.0681,728273.23,470157.0681
NA,NA,NA,NA,3077295.2,957983.1933,3077295.2,957983.1933
5640301.167,239209.6612,5640301.167,239209.6612,50672623,3820960.699,63677912,6179039.301
NA,NA,NA,NA,1977572.8,332158.5903,1977572.8,332158.5903
2035422.734,90178.34082,2035422.734,90178.34082,12992262.7,2117582.418,13018975.88,2128571.429
4933027.4,74135.04707,7890512.9,162321.6124,27099867.8,2319538.188,64436938.12,6125044.405
2017154.35,76450.22311,2793076.19,113128.547,17231928.06,3159760.956,27203380.81,4675298.805
3501123.85,150218.3458,3520816.25,151128.115,12096278.18,2106145.038,13541848.88,2437442.748
19281.8436,2355.810965,19281.8436,2355.810965,29949.04,7953.667954,29949.04,7953.667954
450793.929,22796.62488,450793.929,22796.62488,1186635,244700.4608,1186635,244700.4608
22587.8754,955.9183946,22587.8754,955.9183946,3035334.8,364864.8649,3035334.8,364864.8649
NA,NA,NA,NA,29348067.1,3390909.091,29613333.7,3493181.818
557700.94,14574.43884,557700.94,14574.43884,3295893.5,314984.7095,3295893.5,314984.7095
6007130.65,170133.137,6007130.65,170133.137,34137151.9,3466346.154,34137151.9,3466346.154
1698961.043,83465.78109,1698961.043,83465.78109,39832371.58,8512000,46889141.38,10078545.45
1184606.621,40570.86436,1184606.621,40570.86436,56625007,6824902.724,87634427.14,10273618.68
NA,NA,NA,NA,NA,NA,NA,NA
1662927.1,35974.22139,1662927.1,35974.22139,4216466,457711.4428,4216466,457711.4428
3423031.205,242642.4555,3553266.959,274572.7814,1283505.68,789436.6197,1283505.68,789436.6197
52564.919,6414.559348,52564.919,6414.559348,47598.25,32391.30435,47598.25,32391.30435
27117933.69,2081907.22,39773569.89,2732535.488,488096792.5,187631036.1,685659456.7,229668385.5
39430.6147,6264.969952,39430.6147,6264.969952,362696.2,84492.75362,362696.2,84492.75362
57262396.25,3737840.408,66683936.9,4667192.529,532512373.7,370793846.1,890322927.3,492834943.4
9266991.6,1130206.535,9266991.6,1130206.535,NA,NA,NA,NA
7829012.79,1122715.909,7829012.79,1122715.909,144245209.7,139863391.3,157778563.2,149515177.1
26553444.1,6932355.616,27000804.29,7022426.82,332163327.3,254715117.8,424258443,371502327.1
32429342.9,10335546.5,40688077.77,12117655.92,387707620.5,240105262.2,619153403.9,342110592.9
81302.734,10354.69,81302.734,10354.69,6420039.75,1938750,6420039.75,1938750
346187.75,34403.37108,346187.75,34403.37108,196246594.7,143069881.6,197899832.9,163587953.9
2693149.5,213717.9464,2693149.5,213717.9464,NA,NA,NA,NA
293861.6015,74222.58238,293861.6015,74222.58238,1246799.62,579500,1246799.62,579500
108621.967,819.5465367,108621.967,819.5465367,287721.12,6090.9935,287721.12,6090.9935
11160393.3,215779.8962,17284589.32,416090.0205,87366580,5054176.072,184862409.9,13470519.19
555668011.4,7148589.365,3115397072,43473149.87,5488860606,259557535.5,53788170210,2725039023
31400294.45,446607.4761,62647273.07,961675.4582,210802635.1,8065847.348,662208532.1,27785212.16
61843581.8,1078444.296,148833621.8,2629822.999,462547372,30930860.25,1684618490,125528499.4
3354538.1,75297.92979,3755379.55,93755.26243,23842194,2263829.787,36972484.16,3473617.021
1340516.377,64071.00596,1340516.377,64071.00596,32789613.23,5289775.281,32789613.23,5289775.281
